celltype,contrast,symbol,mean_A,mean_B,delta_log,n_A,n_B,welch_p,note,bh_q
Neuron,CCI_vs_Sham,ITPKC,0.09253561496734619,0.03395552188158035,0.05858009308576584,2,2,0.14168871939182281,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,ACVR1,0.17656883597373962,0.09136757254600525,0.08520126342773438,2,2,0.17987795174121857,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,LNP1,2.3163316654972732e-05,3.052544343518093e-05,-7.3621267802082e-06,2,2,0.8498268723487854,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,AGRN,0.06067438796162605,0.07549312710762024,-0.014818739145994186,2,2,0.1297604888677597,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,VIP,0.0004524289397522807,0.0003910704399459064,6.135849980637431e-05,2,2,0.8903111219406128,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,REG3B,0.0064191268756985664,0.0011771759018301964,0.00524195097386837,2,2,0.24261701107025146,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,TNS3,0.054838426411151886,0.04454198479652405,0.010296441614627838,2,2,0.32474830746650696,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,ANKRD1,0.0168326273560524,0.0003534399438649416,0.016479186713695526,2,2,0.08495692908763885,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,CTTN,0.6462635397911072,0.3655690550804138,0.28069448471069336,2,2,0.16435003280639648,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,RUBCN,0.17843064665794373,0.16855013370513916,0.009880512952804565,2,2,0.733115017414093,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,MEGF11,0.0012220913777127862,0.001075852196663618,0.0001462391810491681,2,2,0.4784573018550873,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,SPRR1A,0.29070040583610535,0.010493100620806217,0.2802073061466217,2,2,0.13503725826740265,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,ATF3,0.4732620120048523,0.4572560489177704,0.01600596308708191,2,2,0.9563412070274353,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,TFE3,0.13729077577590942,0.09017002582550049,0.047120749950408936,2,2,0.4468872547149658,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,CDHR5,0.0,0.002132875844836235,-0.002132875844836235,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,GALNS,0.013422982767224312,0.00937179196625948,0.004051190800964832,2,2,0.5794280767440796,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,CHL1,0.9739940166473389,0.598931610584259,0.37506240606307983,2,2,0.11195822805166245,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,FLNC,0.007218389306217432,0.004885442089289427,0.0023329472169280052,2,2,0.721015989780426,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,RNF19B,0.06321807205677032,0.04517727717757225,0.018040794879198074,2,2,0.4158899486064911,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,SRRM4,0.012395123019814491,0.0,0.012395123019814491,2,2,0.2602905333042145,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,ECEL1,0.02100050449371338,0.0,0.02100050449371338,2,2,0.05452178418636322,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,FLRT3,0.1501767635345459,0.09394887834787369,0.05622788518667221,2,2,0.23423805832862854,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,PTPN23,0.06670849770307541,0.06641533970832825,0.00029315799474716187,2,2,0.9945370554924011,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,MAPK14,0.1128339022397995,0.06943264603614807,0.04340125620365143,2,2,0.3775997459888458,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,VASH2,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,TNIK,0.27377232909202576,0.144429549574852,0.12934277951717377,2,2,0.02771388180553913,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,WDR81,0.05074696242809296,0.057327792048454285,-0.006580829620361328,2,2,0.7566545009613037,n=2v2 sample-level; descriptive only,
