symbol,chembl_id,pchembl_max,standard_type,chembl_target,source,pref_name,atc,pain_prior
ADRA2A,CHEMBL479,7.3,Ki,CHEMBL1867,ChEMBL_activity,THIORIDAZINE,N05AC02,False
ADRA2A,CHEMBL14376,7.22,AC50,CHEMBL1867,ChEMBL_activity,ILOPERIDONE,N05AX14,False
ADRA2A,CHEMBL728,7.2,Ki,CHEMBL1867,ChEMBL_activity,PROCHLORPERAZINE,N05AB04,False
ADRA2A,CHEMBL1266,7.18,AC50,CHEMBL1867,ChEMBL_activity,TETRAHYDROZOLINE,S01GA52;R01AA06;R01AB03;S01GA02,False
ADRA2A,CHEMBL1626,7.16,Ki,CHEMBL1867,ChEMBL_activity,CLEMASTINE,R06AA54;R06AA04;D04AA14,False
ADRA2A,CHEMBL301265,7.12,Ki,CHEMBL1867,ChEMBL_activity,PRAMIPEXOLE,N04BC05,False
ADRA2A,CHEMBL726,7.1,Ki,CHEMBL1867,ChEMBL_activity,FLUPHENAZINE,N05AB02,False
ADRA2A,CHEMBL1079,7.07,EC50,CHEMBL1867,ChEMBL_activity,TIZANIDINE,M03BX02,True
ADRA2A,CHEMBL19236,7.06,AC50,CHEMBL1867,ChEMBL_activity,MOXONIDINE,C02AC05,False
ADRA2A,CHEMBL1112,7.0,Ki,CHEMBL1867,ChEMBL_activity,ARIPIPRAZOLE,N05AX12,False
ADRA2A,CHEMBL1201087,6.99,AC50,CHEMBL1867,ChEMBL_activity,CABERGOLINE,G02CB03;N04BC06,False
ADRA2A,CHEMBL516,6.97,Ki,CHEMBL1867,ChEMBL_activity,CYPROHEPTADINE,R06AX02,False
ADRA2A,CHEMBL809,6.96,Ki,CHEMBL1867,ChEMBL_activity,SERTRALINE,N06AB06,False
ADRA2A,CHEMBL633,6.93,Ki,CHEMBL1867,ChEMBL_activity,AMIODARONE,C01BD01,False
ADRA2A,CHEMBL564,6.9,Ki,CHEMBL1867,ChEMBL_activity,PROMAZINE,N05AA03,False
ADRA2A,CHEMBL629,6.88,Ki,CHEMBL1867,ChEMBL_activity,AMITRIPTYLINE,N06AA09,True
ADRA2A,CHEMBL71,6.88,Ki,CHEMBL1867,ChEMBL_activity,CHLORPROMAZINE,N05AA01,False
ADRA2A,CHEMBL588,6.88,AC50,CHEMBL1867,ChEMBL_activity,FENOLDOPAM,C01CA19,False
ADRA2A,CHEMBL70,6.85,Ki,CHEMBL1867,ChEMBL_activity,MORPHINE,N02AA51;A07DA52;N02AA01,True
ADRA2A,CHEMBL833,6.84,Ki,CHEMBL1867,ChEMBL_activity,TICLOPIDINE,B01AC05,False
ADRA2A,CHEMBL43064,6.78,Ki,CHEMBL1867,ChEMBL_activity,CINNARIZINE,N07CA02;N07CA52,False
ADRA2A,CHEMBL715,6.72,Ki,CHEMBL1867,ChEMBL_activity,OLANZAPINE,N05AH03,False
ADRA2A,CHEMBL64894,6.7,Ki,CHEMBL1867,ChEMBL_activity,GENTIAN VIOLET,,False
ADRA2A,CHEMBL1201203,6.69,Ki,CHEMBL1867,ChEMBL_activity,BENZTROPINE,N04AC01,False
ADRA2A,CHEMBL2,6.68,Ki,CHEMBL1867,ChEMBL_activity,PRAZOSIN,C02CA01,False
ADRA2A,CHEMBL1378,6.68,AC50,CHEMBL1867,ChEMBL_activity,THIETHYLPERAZINE,R06AD03,False
ADRA2A,CHEMBL1237021,6.67,AC50,CHEMBL1867,ChEMBL_activity,LURASIDONE,N05AE05,False
ADRA2A,CHEMBL2105760,6.67,Ki,CHEMBL1867,ChEMBL_activity,BREXPIPRAZOLE,N05AX16,False
ADRA2A,CHEMBL6966,6.66,Ki,CHEMBL1867,ChEMBL_activity,VERAPAMIL,C08DA01;C08DA51,False
ADRA2A,CHEMBL1491,6.65,Ki,CHEMBL1867,ChEMBL_activity,AMLODIPINE,C08CA01,False
ADRA2A,CHEMBL1106,6.6,AC50,CHEMBL1867,ChEMBL_activity,EPINASTINE,S01GX10;R06AX24,False
ADRA2A,CHEMBL643,6.59,Ki,CHEMBL1867,ChEMBL_activity,PROMETHAZINE,R06AD52;D04AA10;R06AD02,False
ADRA2A,CHEMBL61006,6.56,Ki,CHEMBL1867,ChEMBL_activity,PHENYLPROPANOLAMINE,R01BA01;R01BA51,False
ADRA2A,CHEMBL445,6.56,Ki,CHEMBL1867,ChEMBL_activity,NORTRIPTYLINE,N06AA10,True
ADRA2A,CHEMBL142635,6.54,AC50,CHEMBL1867,ChEMBL_activity,NAFTOPIDIL,,False
ADRA2A,CHEMBL305660,6.51,Ki,CHEMBL1867,ChEMBL_activity,EBASTINE,R06AX22,False
