dataset_tag,dataset,tissue,in_consensus_set,n_methods,symbol,overall_pct,max_mean,localisable,tier,top_celltype,top_lineage,top_n_cells,top_pct,log2_enrich_mean,log2_enrich_pct,ambient_index,top_ct_median_n_genes,global_median_n_genes,n_candidates
GSE246288_SC,GSE246288,SpinalCord,False,2,RNF19B,0.2732,0.5743,True,restricted,Fibroblast_Meninges,Vascular_Stroma,154,0.513,1.02,0.76,0.399,3035,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,RUBCN,0.0986,0.143,True,enriched,Endothelial,Vascular_Stroma,160,0.225,0.73,1.13,0.623,4244,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,SERPINE1,0.0309,0.0797,True,restricted,Endothelial,Vascular_Stroma,160,0.125,1.41,1.87,0.273,4244,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,SLC2A1,0.1359,0.3295,True,enriched,Fibroblast_Meninges,Vascular_Stroma,154,0.331,1.0,0.78,0.283,3035,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,3,SPRR1A,0.0002,0.0004,False,undetected,Neuron,Neuronal,4103,0.001,0.5,0.79,0.0,2692,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,SRRM4,0.0005,0.0009,False,undetected,Neuron,Neuronal,4103,0.001,0.82,0.9,2.791,2692,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,3,TFE3,0.5669,0.8273,False,broad,Oligodendrocyte,Glial,1045,0.507,0.43,-0.17,0.552,1322,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,TNIK,0.006,0.225,True,restricted,Pericyte,Vascular_Stroma,83,0.181,5.42,4.79,0.244,1616,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,TNS3,0.4829,0.6509,False,broad,Oligodendrocyte,Glial,1045,0.416,0.46,-0.16,0.515,1322,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,VASH2,0.0023,0.0089,False,undetected,Ependymal,Glial,181,0.011,1.95,1.84,0.0,3650,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,WBP1L,0.2068,0.4966,True,restricted,Pericyte,Vascular_Stroma,83,0.386,1.33,0.71,0.577,1616,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,WDR81,0.2096,0.2259,False,broad,Oligodendrocyte,Glial,1045,0.172,0.49,-0.28,0.586,1322,2734,9
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,ACVR1,0.5307,0.5538,False,broad,Microglia,Immune,1017,0.354,0.33,-0.06,0.491,1534,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,AGRN,0.4782,0.863,False,rare_compartment,Endothelial,Vascular_Stroma,43,0.605,1.95,1.47,0.382,1970,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,ANKRD1,0.0014,0.0009,False,undetected,Neuron,Neuronal,46349,0.002,0.82,1.33,1.057,3704,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,ANKRD13B,0.2203,0.1495,True,restricted,Neuron,Neuronal,46349,0.247,1.91,2.6,0.405,3704,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,3,ATF3,0.0038,0.1232,False,ambient_caution,Microglia,Immune,1017,0.077,3.11,2.88,2.585,1534,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,AXL,0.0234,0.5867,False,ambient_caution,Microglia,Immune,1017,0.326,2.4,1.83,3.111,1534,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,CCDC160,0.074,0.1006,False,rare_compartment,Ependymal,Glial,87,0.08,1.84,1.51,0.467,1420,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,3,CDHR5,0.0004,0.0002,False,undetected,Neuron,Neuronal,46349,0.0,0.28,0.56,0.0,3704,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,CHL1,0.5987,1.8529,True,restricted,Astrocyte,Glial,527,0.884,2.61,1.94,0.425,2042,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,CTTN,0.3362,0.2437,True,enriched,Neuron,Neuronal,46349,0.375,0.95,1.72,0.359,3704,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,ECEL1,0.0555,0.0405,False,undetected,Neuron,Neuronal,46349,0.062,1.16,1.7,0.573,3704,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,FLNC,0.004,0.104,False,rare_compartment,Ependymal,Glial,87,0.057,2.05,1.29,1.446,1420,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,FLRT3,0.2718,0.2084,True,restricted,OPC,Glial,415,0.19,1.29,1.04,0.355,2008,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,3,GALNS,0.2015,0.1528,True,restricted,Neuron,Neuronal,46349,0.229,1.57,2.3,0.433,3704,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,ITPKC,0.0673,0.0405,False,undetected,Neuron,Neuronal,46349,0.075,0.8,1.79,0.436,3704,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,LNP1,0.0023,0.0023,False,undetected,Astrocyte,Glial,527,0.002,1.42,1.01,0.0,2042,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,MAPK14,0.5992,0.8673,True,restricted,Microglia,Immune,1017,0.504,1.38,0.79,0.598,1534,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,MEGF11,0.1429,1.8884,True,restricted,OPC,Glial,415,0.851,4.67,3.86,0.506,2008,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,NPY,0.0337,0.0318,False,undetected,Endothelial,Vascular_Stroma,43,0.023,1.17,0.63,0.807,1970,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,PTPN23,0.2204,0.1472,True,enriched,Neuron,Neuronal,46349,0.244,0.87,1.8,0.491,3704,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,RNF19B,0.1807,0.2177,True,restricted,Microglia,Immune,1017,0.15,1.76,1.02,0.601,1534,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,RUBCN,0.4889,0.4644,True,enriched,OPC,Glial,415,0.361,0.71,0.52,0.538,2008,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,SERPINE1,0.0022,0.0418,False,undetected,Fibroblast_Meninges,Vascular_Stroma,125,0.016,2.58,1.64,2.384,1368,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,SLC2A1,0.0716,2.1266,False,rare_compartment,Endothelial,Vascular_Stroma,43,0.93,3.58,2.78,1.279,1970,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,3,SPRR1A,0.0027,0.0407,False,undetected,Ependymal,Glial,87,0.023,3.5,2.84,2.396,1420,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,SRRM4,0.5852,0.7544,True,restricted,Neuron,Neuronal,46349,0.67,3.27,3.18,0.312,3704,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,3,TFE3,0.1541,0.2855,True,restricted,Microglia,Immune,1017,0.198,2.45,1.69,0.617,1534,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,TNIK,0.8801,2.6119,True,restricted,Astrocyte,Glial,527,0.972,1.3,0.78,0.534,2042,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,TNS3,0.2193,1.766,False,ambient_caution,Microglia,Immune,1017,0.812,1.89,1.4,1.772,1534,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,VASH2,0.1312,0.082,True,restricted,Neuron,Neuronal,46349,0.151,2.77,3.22,0.237,3704,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,VIP,0.002,0.0413,False,undetected,Endothelial,Vascular_Stroma,43,0.023,4.83,3.89,0.595,1970,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,WBP1L,0.2766,0.3889,True,enriched,Microglia,Immune,1017,0.262,0.93,0.44,0.737,1534,1752,8
GSE328175_SC_ShamSNI,GSE328175,SpinalCord,True,2,WDR81,0.0765,0.1097,True,restricted,Microglia,Immune,1017,0.077,2.02,1.31,0.865,1534,1752,8
