miRNA,rho,p,FDR
hsa-miR-142-3p,0.2165815305083601,0.10887130332358752,0.9863362615743116
hsa-miR-223-5p,0.21528156238968726,0.11106361512060359,0.9863362615743116
hsa-miR-129-5p,0.21520509844347263,0.11119361350425079,0.9863362615743116
hsa-miR-551a,0.21416666910468557,0.11297065263552074,0.9863362615743116
hsa-miR-1179,0.21374577901616168,0.11369707485450681,0.9863362615743116
hsa-miR-10398-5p,-0.21339192016513964,0.11431056838888079,0.9863362615743116
hsa-miR-4536-3p,-0.21252058856277933,0.11583200966912674,0.9863362615743116
hsa-miR-193b-3p,-0.21202981308908297,0.11669574130259787,0.9863362615743116
hsa-miR-29b-2-5p,-0.21195357128477943,0.11683036174801831,0.9863362615743116
hsa-miR-1306-3p,0.21141586772100227,0.11778315507444391,0.9863362615743116
hsa-miR-101-3p,-0.21069746428699884,0.11906537545002757,0.9863362615743116
hsa-miR-2276-3p,0.2101898913620799,0.11997769181078827,0.9863362615743116
hsa-miR-3150a-3p,-0.20986098165208558,0.12057171180508636,0.9863362615743116
hsa-miR-23a-3p,0.209808012416328,0.12066758449234716,0.9863362615743116
hsa-miR-574-3p,0.2088159314836566,0.12247395231416454,0.9863362615743116
hsa-miR-664a-3p,0.20844318686707317,0.12315792211019269,0.9863362615743116
hsa-miR-3150b-3p,0.2079727269399452,0.12402532883957708,0.9863362615743116
hsa-miR-5187-5p,0.2079085249623463,0.12414405907345594,0.9863362615743116
hsa-miR-711,-0.20697448886554035,0.12588115668264285,0.9863362615743116
hsa-miR-223-3p,0.20631862430831147,0.12711187206497668,0.9863362615743116
hsa-miR-3191-5p,0.20586103715013393,0.12797589853407776,0.9863362615743116
hsa-miR-589-3p,0.20573112762434617,0.12822200367319397,0.9863362615743116
hsa-miR-491-5p,0.2046563389204128,0.13027185668458974,0.9863362615743116
hsa-miR-548aw,0.2042737107816051,0.13100754484094881,0.9863362615743116
hsa-miR-5697,0.2037234205289064,0.13207108506058451,0.9863362615743116
hsa-miR-148a-5p,-0.2033956466494531,0.13270765214299113,0.9863362615743116
hsa-miR-182-3p,-0.2029406590720957,0.1335951033773422,0.9863362615743116
hsa-miR-5188,-0.20276729611055286,0.13393441862700334,0.9863362615743116
hsa-miR-6735-5p,0.20163046194363302,0.13617556369181602,0.9863362615743116
hsa-miR-4433b-5p,0.20111875183362016,0.13719347832296525,0.9863362615743116
hsa-miR-3155b,0.20099652543478835,0.1374374577612514,0.9863362615743116
hsa-let-7f-2-3p,-0.20056980134291738,0.13829180291922555,0.9863362615743116
hsa-miR-34b-3p,-0.20032815282000274,0.13877736834778148,0.9863362615743116
hsa-miR-627-3p,-0.20019512612408724,0.13904521453418237,0.9863362615743116
hsa-miR-4632-5p,-0.19996904629093396,0.13950130824252208,0.9863362615743116
hsa-miR-23b-3p,0.19851881559627446,0.14245365727486473,0.9863362615743116
hsa-miR-3163,-0.19748541826746802,0.1445856997317315,0.9863362615743116
hsa-miR-342-5p,0.19595643761276793,0.14778366349064906,0.9863362615743116
hsa-miR-937-3p,-0.19586251145962333,0.14798181505989003,0.9863362615743116
hsa-miR-1255b-5p,-0.1952346856122589,0.1493113790259546,0.9863362615743116
hsa-miR-664b-3p,0.1948796346357405,0.1500671913735067,0.9863362615743116
hsa-miR-1246,0.19274067205138523,0.15468059318501065,0.9863362615743116
hsa-miR-628-3p,0.19260053968757973,0.15498645002999703,0.9863362615743116
hsa-miR-454-5p,0.1923610718762453,0.1555101519500023,0.9863362615743116
hsa-miR-1307-5p,-0.1913689909435739,0.1576936852814446,0.9863362615743116
hsa-miR-3190-3p,0.19125914675994277,0.15793682931984657,0.9863362615743116
hsa-miR-4742-5p,0.18910233068076893,0.16276708408670318,0.9863362615743116
hsa-miR-7155-3p,-0.18873652576649624,0.16359694071640862,0.9863362615743116
hsa-miR-376a-3p,0.18816916599080216,0.16489016486655161,0.9863362615743116
hsa-miR-6741-3p,0.18811495308681472,0.16501412665569926,0.9863362615743116
hsa-miR-3679-5p,0.18778571064440155,0.1657684284185551,0.9863362615743116
hsa-miR-6820-3p,0.18725927984358337,0.16697972614930645,0.9863362615743116
hsa-miR-3667-3p,-0.1864530740323933,0.16884728748651814,0.9863362615743116
hsa-miR-4659a-3p,0.18634902395819972,0.16908942288669498,0.9863362615743116
hsa-let-7i-3p,-0.18616911846888257,0.16950867885044607,0.9863362615743116
hsa-miR-488-3p,-0.1860714583104879,0.1697365853696092,0.9863362615743116
hsa-miR-296-3p,-0.18606607985008855,0.16974914340132827,0.9863362615743116
hsa-miR-433-3p,-0.1832277091195651,0.1764712044954854,0.9863362615743116
hsa-miR-1271-5p,-0.1831240462240485,0.17672030475358616,0.9863362615743116
hsa-miR-4677-5p,-0.18301968524512863,0.17697133962712608,0.9863362615743116
hsa-miR-494-3p,0.1825710887244236,0.17805335566524333,0.9863362615743116
hsa-miR-548u,-0.18216439826017486,0.1790384228904414,0.9863362615743116
hsa-miR-378a-5p,-0.18124292349285925,0.18128493821115294,0.9863362615743116
hsa-miR-877-5p,0.18116801194134932,0.18146845896073396,0.9863362615743116
