chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,symbol,tag,exh,max_evals,drug_lc,pref_name,mw,logp,tpsa,hbd,hba,rotb,charge,n_torsions,drh_phase,drh_moa,drh_indication,pain_prior,atc,scored,neg_aff,pct_in_target,n_ligands_target,z_in_target
CHEMBL1098,-8.126,3,0.0,0.0,11.95,0,,ACVR1,t1_cns,1,0,bupivacaine,BUPIVACAINE,288.4,3.9,32.3,1.0,2.0,5.0,0.0,10.0,Launched,sodium channel blocker,peripheral nerve block|caudal epidural block|lumbar epidural block,False,N01BB01;N01BB51,True,8.126,60.79674796747967,3075.0,0.3710415010284971
CHEMBL11,-6.052,2,0.0,0.0,27.71,0,,ACVR1,t1_cns,1,0,imipramine,IMIPRAMINE,280.4,3.88,6.5,0.0,2.0,4.0,0.0,16.0,Launched,norepinephrine reputake inhibitor|serotonin reuptake inhibitor,depression|nocturnal enuresis,False,N06AA02,True,6.052,15.788617886178862,3075.0,-0.9596076640397394
CHEMBL1100,-4.98,3,0.0,0.0,4.12,0,,ACVR1,t1_cns,1,0,paramethadione,PARAMETHADIONE,157.2,0.76,46.6,0.0,3.0,1.0,0.0,2.0,Launched,anticonvulsant,seizures,False,N03AC01,True,4.98,7.089430894308943,3075.0,-1.6473877532167638
CHEMBL1101,-8.733,2,0.0,0.0,14.36,0,,ACVR1,t1_cns,1,0,biperiden,BIPERIDEN,311.5,3.96,23.5,1.0,2.0,5.0,0.0,12.0,Launched,acetylcholine receptor antagonist,Parkinson's Disease,False,N04AA02,True,8.733,77.75609756097562,3075.0,0.7604841448069065
CHEMBL1102,-7.112,2,0.0,0.0,5.81,0,,ACVR1,t1_cns,1,0,glutethimide,GLUTETHIMIDE,217.3,1.77,46.2,1.0,2.0,2.0,0.0,4.0,,,,False,N05CE01,True,7.112,36.03252032520325,3075.0,-0.27952660571171073
CHEMBL1104,-5.584,2,0.0,0.0,5.18,0,,ACVR1,t1_cns,1,0,edrophonium,EDROPHONIUM,166.2,1.98,20.2,1.0,1.0,2.0,1.0,6.0,Launched,acetylcholinesterase inhibitor,myasthenia gravis,False,V04CX07,True,5.584,10.94308943089431,3075.0,-1.2598698671506048
CHEMBL1106,-9.147,2,0.0,0.0,4.63,0,,ACVR1,t1_cns,1,0,epinastine,EPINASTINE,249.3,2.47,41.6,1.0,3.0,0.0,0.0,0.0,Launched,histamine receptor antagonist,conjunctivitis,False,S01GX10;R06AX24,True,9.147,86.32520325203252,3075.0,1.0261007090972871
CHEMBL1108,-9.189,2,0.0,0.0,23.07,0,,ACVR1,t1_cns,1,0,droperidol,DROPERIDOL,379.4,3.68,58.1,1.0,3.0,6.0,0.0,12.0,Launched,dopamine receptor antagonist,nausea|vomiting,False,N05AD08,True,9.189,87.02439024390245,3075.0,1.0530473170687749
CHEMBL111,-8.807,3,0.0,0.0,25.27,0,,ACVR1,t1_cns,1,0,rimonabant,RIMONABANT,463.8,5.94,50.2,1.0,3.0,4.0,0.0,8.0,Withdrawn,cannabinoid receptor antagonist,,False,A08AX01,True,8.807,79.4471544715447,3075.0,0.8079615017090518
CHEMBL1110,-8.591,3,0.0,0.0,9.09,0,,ACVR1,t1_cns,1,0,alosetron,ALOSETRON,294.4,2.41,53.9,1.0,2.0,2.0,0.0,4.0,Withdrawn,serotonin receptor antagonist,,False,A03AE01,True,8.591,74.21138211382113,3075.0,0.6693789464271132
