,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
TMEM70,-0.26373933739848177,-8.950976463017062,0.0008876901211593002,3.320930765399574,3.584670102798056,0.37249035195954944,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
YWHAQ,0.14693014505305602,9.114041383391209,0.0008977216263442403,5.6110719579361765,5.4641418128831205,0.37249035195954944,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
FZR1,0.2383676816141338,8.848419806117512,0.000943659940927311,4.1354057398143675,3.8970380582002337,0.3739589203917106,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
HS6ST1,0.29104113901567263,31.126890455595895,0.0009482907323252838,4.443771337480477,4.152730198464805,0.3739589203917106,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
ZFP113,0.1737825774955406,8.790727220902195,0.0009884193730268108,2.06873506802625,1.8949524905307096,0.3739589203917106,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
TESC,-0.6354152974246454,-9.086815437881322,0.0009998121837054132,3.380570886129217,4.015986183553863,0.3739589203917106,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
CREG2,-0.18478998109302158,-8.666798341353577,0.0010263645447394385,1.5600041289833424,1.744794110076364,0.3739589203917106,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
CTBP2,0.27474463314004605,8.569404689583102,0.0010300125195846735,2.177266744495585,1.902522111355539,0.3739589203917106,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
RFTN1,-0.2947221952232122,-8.443573151119748,0.0011198233855332022,0.6969765439951833,0.9916987392183955,0.39733164376507984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
KNG1,-0.021839923265529738,-28.935663645285686,0.0011922186288448066,0.0001442622910945,0.021984185556624236,0.39733164376507984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
PLVAP,-0.3457304598291371,-10.293564934532034,0.0012007497586683847,1.5061185030870783,1.8518489629162154,0.39733164376507984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
SCOC,-1.6015734611065304,-22.988369598761203,0.0012151227702853556,3.860539709400212,5.4621131705067425,0.39733164376507984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
PLPP7,-0.3141645897018701,-8.449662037792299,0.0012774485230677868,1.5041455151247114,1.8183101048265815,0.39733164376507984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
AMER1,-0.23069013239533165,-8.321062383895642,0.0012887276658309138,3.5200888711182152,3.750779003513547,0.39733164376507984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
SRP68,-0.1449250709541392,-8.405778998150009,0.0012916274052431056,3.4531123806440758,3.598037451598215,0.39733164376507984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
TUBB6,1.122913816481304,10.758023182697853,0.0012921325747917477,3.875082035402785,2.752168218921481,0.39733164376507984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
LIMK2,0.23096161344128419,9.466949514627785,0.001300634097778292,2.5388606607443935,2.3078990473031094,0.39733164376507984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
PIK3CB,-0.1325871391266893,-7.984622326583611,0.0013341386745836746,2.4751436172176273,2.6077307563443166,0.39733164376507984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
NPTX1,-0.4533076273437455,-8.46547929737629,0.0013451866059642915,5.564417946860563,6.0177255742043085,0.39733164376507984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
CACNG2,-0.5184100054105234,-7.921796767935971,0.001375232569048359,2.4919298069449427,3.010339812355466,0.39943629968009586,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
RAB30,1.0303614801040566,19.348305546654785,0.0014537953865768904,2.637521005089297,1.6071595249852404,0.41533265904713884,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
LRRC8C,-0.16356046455666817,-7.656957549465828,0.0015725425543853557,4.03475543853783,4.198315903094498,0.41579894093844305,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
SEMA3C,0.6082343121563598,7.651045653326362,0.0015936453000155687,4.809139490030096,4.200905177873736,0.41579894093844305,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
HOPX,0.5118847254071031,8.469329764869157,0.0016952669625567465,4.32716324586714,3.8152785204600366,0.41579894093844305,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
FOXO4,0.20271070014056036,8.044297265596024,0.001701934402605223,2.639956624199654,2.4372459240590936,0.41579894093844305,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
DGAT1,0.2278889057886766,8.297300822083068,0.001703703734495915,3.0099483770759528,2.782059471287276,0.41579894093844305,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
SLC35F3,-0.1760916690000638,-7.582075650942909,0.0017300234542269384,1.6751278208709717,1.8512194898710355,0.41579894093844305,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
