,symbol,K_ni,Z_NI,p_NI,FDR_NI,ni_consistency,Z_NI_RE,p_NI_RE,FDR_NI_RE,incision_Z,incision_agreement
12609,GCK,3,1.6751575938849383,0.0939033153001583,0.15672962335869922,0.6666666666666666,1.6751575938849381,0.09390331530015836,0.2516657504611757,-1.0305261330566147,0.0
12610,NR4A1,5,1.4508330046891496,0.14682636684646885,0.22651412284861147,0.8,1.4508330046891498,0.14682636684646877,0.3360904472469577,-0.7968708534484679,0.0
12611,NFE2L3,5,-0.8096212497417733,0.4181578912203925,0.526698836883033,0.6,-0.8096212497417731,0.4181578912203927,0.6390757153282125,-0.24682497860365077,1.0
12612,AVPR2,3,-1.3805120027843651,0.16742905661359753,0.252285773623073,0.6666666666666667,-1.3805120027843651,0.16742905661359753,0.3658493807497725,0.5915692042251878,0.0
12613,PREX1,5,-0.20464050985829862,0.8378530028332533,0.8827867826378282,0.6,-0.2046405098582985,0.8378530028332534,0.9229730341675044,1.8966230364089551,0.0
12614,AA986860,3,-0.8180433711288319,0.4133324224849201,0.5220111595429877,1.0,-0.818043371128832,0.4133324224849201,0.6350578536127724,,
12615,DRD3,3,-0.8178526324900665,0.41344134026512513,0.5221088780093348,1.0,-0.8178526324900665,0.41344134026512513,0.6351662394717237,,
12616,ZFP850,3,-0.8172523231407898,0.413784246732415,0.5224621902444834,0.6666666666666667,-0.81725232314079,0.413784246732415,0.6355705556028372,,
12617,DTHD1,3,-0.8171492426264169,0.41384314492848795,0.5224757416129493,0.6666666666666666,-0.8171492426264166,0.41384314492848806,0.6355705556028372,,
12618,CCDC170,3,1.63905288251759,0.10120224668016418,0.16665347925620594,1.0,1.6390528825175898,0.10120224668016425,0.2641679124910801,-0.9803228991789252,0.0
12619,RRP36,5,2.632684944497444,0.008471288772899245,0.020062144350512942,0.8,2.632684944497444,0.008471288772899245,0.044224026808604766,-2.7249341536275344,0.0
12620,LEPROTL1,5,-1.2999553917105973,0.19361625853402953,0.28373052777824315,0.6,0.04705660309521298,0.9624681147091287,0.9841364921602946,0.5552961478703603,0.0
12621,MRPL11,5,0.04320211605562005,0.9655404182968352,0.9764541457597127,0.6,0.04320211605562005,0.9655404182968352,0.9851214327589976,-1.6304446381961692,0.0
12622,BANK1,5,1.1322561010342216,0.2575267802716581,0.3575392775588395,0.6,0.052913552382625954,0.9578007862843002,0.982693182868432,-0.28357660036645677,0.0
12623,CRACR2A,5,1.3630693265605898,0.17286066270757627,0.25884729230344994,0.6,0.8311299460072026,0.40590022427445893,0.6280580922093366,-0.6599917630698472,0.0
12624,WDR64,3,-2.3894020478355635,0.016875823287741936,0.03638512792219676,1.0,-2.389402047835564,0.016875823287741933,0.0743065718796768,2.104005545264801,0.0
12625,MRTO4,5,0.5699362443681304,0.5687209410480956,0.6647491326105437,0.8,-0.8083934819946388,0.41886410297375376,0.6395202133033459,-2.4866743927673483,0.0
12626,NIPA2,5,-1.4686515085163296,0.14192733630216567,0.2202256514448684,0.6,-1.0026383683103568,0.3160353764329006,0.5413450844165757,0.8323092631735747,0.0
12627,TM2D2,5,1.6024041409371035,0.10906626973555576,0.17733446922032603,0.6,1.6024041409371035,0.10906626973555576,0.27815754539384757,-1.050578773762484,0.0
12628,ATAD5,5,0.9631280843435462,0.3354832495088389,0.4423931441897946,0.8,0.9459364719745094,0.3441809895783544,0.5708300340181285,-0.00987888560900305,0.0
12629,LRRC8E,3,2.6237718378629413,0.008696201869898858,0.02051882157527668,0.6666666666666666,0.825661568978111,0.40899609859049524,0.6308811744786998,-2.455837103890373,0.0
12630,POP7,5,1.5625411735286407,0.11816055417456685,0.18931308611919762,0.8,1.562541173528641,0.11816055417456685,0.29269582351054035,-0.9867011385155302,0.0
12631,MFGE8,5,1.0962684508537461,0.27296131170971216,0.3743225055171704,0.6,1.2535218129038035,0.21001586580566256,0.4204381483811474,-0.22771179393396235,0.0
12632,FBXO32,5,0.6217657149576,0.5340959335368238,0.6352655857934398,0.6,0.5412551776535222,0.5883317102478283,0.7699265727559889,0.5445393151633692,1.0
12633,WFDC6A,3,0.5880366307479781,0.5565077059223003,0.6541662913447847,0.6666666666666666,0.5880366307479781,0.5565077059223003,0.749855703065747,0.5858690016706037,1.0
12634,ADAM5,4,-0.369435106615762,0.7118034345276874,0.7859753467846752,0.75,-0.369435106615762,0.7118034345276874,0.8498009472825925,-0.9333938340094734,1.0
12635,TTYH1,5,0.5877261703990099,0.5567161066010418,0.6543183268096601,0.8,0.58772617039901,0.5567161066010418,0.749855703065747,0.5987053526687055,1.0
12636,TRDMT1,5,-0.43754840963245284,0.6617136763410254,0.7428341590765992,0.6,-0.4375484096324528,0.6617136763410255,0.8161765779124036,-0.8431421563546279,1.0
12637,SMIM4,3,-0.8140183769469241,0.41563442336710066,0.5243583060649581,0.6666666666666667,-0.814018376946924,0.41563442336710066,0.6375162406817277,,
12638,E2F2,5,0.9455721512048295,0.34436685404846346,0.45212660967796997,0.6,0.9455721512048296,0.34436685404846346,0.5710238597686003,0.015785294852551972,1.0
12639,SMPDL3A,5,-0.8137227843334153,0.4158037785503872,0.524492009035666,0.8,-0.8137227843334153,0.4158037785503872,0.6375828137006292,,
12640,APCDD1L,2,1.4915975530268644,0.13580468007969423,0.21244107973528958,1.0,1.4915975530268646,0.13580468007969412,0.31978033272791995,-0.6305620341744265,0.0
12641,ANGPTL8,3,1.2078198093102244,0.22711658010737557,0.32245956715879914,1.0,1.2078198093102241,0.22711658010737545,0.4418829688088192,-0.3423268398679961,0.0
12642,EXOSC8,5,1.7522724391982867,0.07972697279424451,0.13659178263631105,0.6,1.752272439198286,0.07972697279424465,0.22446689125537295,-1.2985059398823613,0.0
12643,AGTR2,3,-0.8406497443006052,0.40054418235758693,0.5099067302247946,0.6666666666666667,-0.8406497443006054,0.4005441823575868,0.6244520397836278,-0.205995469822671,1.0
12644,CNBD2,2,-0.3967915053518858,0.691521215371872,0.7682950165683464,1.0,-0.39679150535188595,0.6915212153718717,0.8359058757639101,1.9391844561265652,0.0
12645,USP44,3,0.08373836484646975,0.9332644535141253,0.9546622280811626,0.6666666666666667,0.08373836484646968,0.9332644535141255,0.9711676873233878,1.3359351891347702,1.0
12646,EPO,2,0.31173917969075493,0.7552387495775417,0.8202028595897559,1.0,0.311739179690755,0.7552387495775417,0.8754612916175831,0.956537602549167,1.0
12647,EFNB1,5,0.7610520395310759,0.446625985151884,0.5541644157596689,0.6,0.7610520395310756,0.4466259851518841,0.6633662335098695,0.31249084009975653,1.0
12648,PXT1,2,0.23231197338010467,0.8162957133952119,0.8662463094086519,0.5,0.12100637833523861,0.9036859831409987,0.9580356365176333,-1.2865877585470862,0.0
12649,EXOSC9,5,-0.369675240024627,0.7116244824994246,0.7858792631584893,0.8,-0.7854857652358148,0.4321688130987906,0.6508520374326019,-0.9491269499112333,1.0
12650,UGT3A2,3,-0.8110426593543307,0.41734117309523866,0.525990337095286,1.0,-0.8110426593543306,0.41734117309523877,0.6387651636927838,,
12651,METTL23,5,-0.810059872578023,0.4179057655442092,0.5265014637911213,0.6,-0.810059872578023,0.4179057655442092,0.6390001137448269,,
12652,PODNL1,3,2.0935326487858474,0.036301632734168254,0.0702564030769523,1.0,2.093532648785848,0.03630163273416824,0.1303267464777715,-1.672481813258976,0.0
12653,CBARP,5,0.09943293704196725,0.9207945323580187,0.9462846056534401,0.6,0.1673766210557861,0.8670737193684603,0.9386399086322273,1.385379971325213,1.0
12654,ASB6,5,0.7311744362807621,0.4646726125743289,0.57099191412994,0.6,0.7311744362807621,0.4646726125743289,0.6784211946132391,0.3566381188934778,1.0
12655,KLF8,5,0.8093215249062083,0.4183302281616913,0.526835725217402,0.6,0.8093215249062083,0.4183302281616913,0.639194311081138,,
12656,NECAB2,5,-0.05769400850316931,0.9539923662702172,0.9688006409291757,0.6,-0.47278866004778075,0.6363639652530602,0.8019106473443968,1.6374679116873825,0.0
12657,NOL8,5,0.8077554108869045,0.41923139829600164,0.5277297212408106,0.6,0.8077554108869044,0.41923139829600176,0.6397269387476188,,
12658,SLC47A2,5,-2.1998024045488114,0.027820917310856973,0.05586459096558348,0.6,0.011154821219519944,0.9910999249435889,0.9964677872265627,2.038664895216382,0.0
