symbol,K,meta_Z,meta_p,consistency,n_up,n_dn,lfc_GSE267799_SMIR_DRG,lfc_GSE212311_CCI_DRG,lfc_GSE278227_CCI_DRG,lfc_GSE241361_S1R_DRG,lfc_GSE265957_Xtail_DRG_Day4,lfc_GSE265957_Xtail_DRG_Day63,meta_FDR,incision_lfc,concordant_incision
CLEC4F,4,4.275740421782473,1.9050308851035234e-05,1.0,4,0,0.07508689761602622,0.09669455857857145,0.31087458026585635,0.12352800833484553,,,0.00014235698063310844,0.07508689761602622,True
UBA6,6,-4.274796463327136,1.9131198558928936e-05,0.5,3,3,0.17603550007859514,-0.08272356437183603,-0.24866322749327452,0.10208913692961818,-0.240130549243918,0.0496826998417316,0.0001428969307524331,0.17603550007859514,False
TCEAL9,6,4.273373055215336,1.925379211642062e-05,0.5,3,3,-0.026279378851094215,0.2870759378971339,0.7356223603160732,0.15589200226088096,-0.282500111219416,-0.277662071306217,0.00014374775241812995,-0.026279378851094215,False
GNA15,4,4.272348833633455,1.93424675177239e-05,0.75,3,1,-0.4074174315922374,0.30292909280811364,0.8785807125670506,0.9146998197339179,,,0.00014428383359674766,-0.4074174315922374,False
PRMT7,6,4.27234235516104,1.9343029649056492e-05,0.5,3,3,-0.06438764224366444,0.12415902999096096,0.24735651472358722,-1.2412480971988957,0.53796269335304,-0.0953795298777579,0.00014428383359674766,-0.06438764224366444,False
SPHKAP,6,-4.2712447901495185,1.9438489333659848e-05,0.8333333333333334,1,5,0.3318020526039618,-0.043572622674722616,-0.6541068825376568,-0.6871785335483622,-0.557140822851987,-0.165735908876076,0.00014493057452735937,0.3318020526039618,False
ENTPD2,5,4.270881390440187,1.9470194429393966e-05,0.8,4,1,0.1618215304666144,,0.7293905662991618,-0.8868370610143117,0.271544091458244,0.66435077488048,0.00014510160206903598,0.1618215304666144,True
LLGL1,6,4.269001884289495,1.963496104224435e-05,1.0,6,0,0.17307766700050298,0.061648680961785995,0.16957012816849115,0.24294085709551982,0.16665744187671,0.267273039053336,0.00014626367019407221,0.17307766700050298,True
ARMC5,6,4.268369691953365,1.9690679903480077e-05,0.6666666666666666,4,2,0.2441913875967554,-0.014197020377450631,0.1592486956129795,-1.096268563406182,0.361129234641467,0.27672646009714,0.0001466127457320748,0.2441913875967554,True
DOP1A,4,-4.267780451151568,1.9742748743982785e-05,0.75,1,3,0.14470553960939458,-0.12715979440285352,-0.20594317760489744,-1.8011842760821146,,,0.00014692977229684213,0.14470553960939458,False
