symbol,K,meta_Z,meta_p,consistency,n_up,n_dn,lfc_GSE267799_SMIR_DRG,lfc_GSE212311_CCI_DRG,lfc_GSE278227_CCI_DRG,lfc_GSE241361_S1R_DRG,lfc_GSE265957_Xtail_DRG_Day4,lfc_GSE265957_Xtail_DRG_Day63,meta_FDR,incision_lfc,concordant_incision
NKAIN1,6,8.494327206575342,1.9908272757376088e-17,1.0,6,0,0.25983064613935114,0.4103271407235187,1.7204483558013917,1.6201321744453825,1.87920813915678,1.11173019297759,1.5691510984766143e-14,0.25983064613935114,True
DRAXIN,5,8.480613763971661,2.2400908172584556e-17,1.0,5,0,,0.9889684576782024,2.8486278464527874,1.731465464014321,1.83505526038293,0.580012284531017,1.6853628730573616e-14,,False
CHL1,6,8.458843169774044,2.7004291583447516e-17,1.0,6,0,0.4542070728050822,0.5178145501915594,1.1412883211833762,1.898412216405121,1.37891762842392,0.183191978275031,1.943369714300971e-14,0.4542070728050822,True
FADS3,6,8.43705811343857,3.2542468318897284e-17,1.0,6,0,0.3176502490435622,0.19703112212870622,0.7529530250033902,1.3464320513972332,1.19640163205857,0.11113093098712,2.207264284995308e-14,0.3176502490435622,True
AZIN2,6,8.430556328084826,3.440257390666631e-17,1.0,6,0,0.2281835021537022,0.5756013688887442,1.1283217599022066,0.7791214053528561,0.600234742165895,0.321567903174448,2.207264284995308e-14,0.2281835021537022,True
ABCA1,6,8.429643908012608,3.467186527904664e-17,1.0,6,0,0.35314303139732317,0.6906404543927542,1.2950322500396512,1.743851358718615,1.13620283115293,0.243076269434242,2.207264284995308e-14,0.35314303139732317,True
TUBB6,6,8.387775320667597,4.954279051561991e-17,1.0,6,0,0.07556652068793657,1.122913816481304,2.1013961233743195,2.553448649486473,2.25220284422081,0.983039823095591,3.037156550424225e-14,0.07556652068793657,True
MAP7D1,6,8.324884485005423,8.441101594789784e-17,1.0,6,0,0.2830932700372921,0.27476813545491563,0.6117917683229441,0.9856232192164773,0.564977742539396,0.160708053824197,4.989896914177161e-14,0.2830932700372921,True
PLAUR,6,8.251274563693649,1.5671403577957328e-16,1.0,6,0,0.38364507265325765,0.25283063454049404,0.8180907357836715,2.3340826663875847,1.28251021757948,0.629279618150065,8.646435734078322e-14,0.38364507265325765,True
ARG1,4,8.235905775493963,1.782041533878639e-16,1.0,4,0,0.2568901631996874,0.9604326193731302,2.884797812629242,0.4887738226778376,,,9.514952086696526e-14,0.2568901631996874,True
SBF1,6,8.191724288056596,2.5750999811869386e-16,1.0,6,0,0.413946653532812,0.11828502068727698,0.401394259863852,0.4695997181426179,0.594023912229098,0.158655658272354,1.331970465268944e-13,0.413946653532812,True
PTPRO,6,8.184358313988332,2.7375841480231217e-16,1.0,6,0,0.35509479075700057,0.8624082273390115,1.635454150369437,1.1112924369200146,0.916902583707234,0.459847033262755,1.335885947272874e-13,0.35509479075700057,True
SPRR1A,6,8.184072579515615,2.744086648578886e-16,1.0,6,0,0.4976966948212072,1.8430928418640131,3.322057386159534,9.0377508539142,3.08935040569135,5.40086665312334,1.335885947272874e-13,0.4976966948212072,True
JUN,6,8.172771499280698,3.013844715656113e-16,0.8333333333333334,5,1,0.2619751576152911,1.0245329867055641,1.811709615739054,-0.3453428682370232,0.432887185009781,0.186524059636433,1.425290220958285e-13,0.2619751576152911,True
SEMA3C,6,8.16792437537924,3.137404770857864e-16,1.0,6,0,0.2643900108735133,0.6082343121563598,0.8630118357351488,0.7560621060335988,0.177331417482905,0.0699393404093674,1.442508993534427e-13,0.2643900108735133,True
MAP2K6,6,-8.159176445880794,3.3731658289792323e-16,1.0,0,6,-0.26959305696737346,-0.17096485466053668,-0.6378965068588567,-0.17416441551992756,-0.0979396741591724,-0.040070676069081,1.4684110560605536e-13,-0.26959305696737346,True
COL7A1,5,8.15115042305305,3.6047838945400293e-16,1.0,5,0,0.25444865593789756,0.20534654743781414,2.0897938769272653,1.011486497468026,1.85044865068198,,1.4684110560605536e-13,0.25444865593789756,True
KIF22,6,8.150500706031085,3.6242052689388817e-16,0.8333333333333334,5,1,-0.01923998293939677,0.5261350422768112,1.3956848789784462,1.5963726421738351,2.07937190478496,1.31547489722429,1.4684110560605536e-13,-0.01923998293939677,False
PLEKHO2,6,8.150375833712905,3.627949756085067e-16,1.0,6,0,0.21945924031535124,0.4045058893358513,0.8560055093159429,1.00965211492203,0.781412036435959,0.418173666254108,1.4684110560605536e-13,0.21945924031535124,True
AP1S1,6,8.15006404297785,3.6373159315178045e-16,1.0,6,0,0.234415588599874,0.5265092925681243,0.8719944305753513,1.0137039822963878,0.618134615569755,0.373097860079328,1.4684110560605536e-13,0.234415588599874,True
RND1,6,8.102102297927827,5.401749112914164e-16,1.0,6,0,0.3436454387222443,0.4449553612608692,0.8032446222150575,1.5158145775781409,0.79959523552812,0.740788007894933,2.1288036027846488e-13,0.3436454387222443,True
BASP1,5,8.072170711587127,6.905922580260635e-16,0.8,4,1,,0.39662990225441597,0.7812137336180642,0.9421249517328203,-0.009024966021226,0.0364148219497454,2.658298384848233e-13,,False
TNKS1BP1,4,8.046495057715006,8.519882613747568e-16,1.0,4,0,,0.21755275581444833,0.5543967984324265,,0.563293533865599,0.0143199104674743,3.2050249323352216e-13,,False
SEMA6A,6,8.036670405498436,9.231253919151154e-16,1.0,6,0,0.2634151716714799,1.1801484892901062,2.6784614236184785,3.127585723784508,1.95166589780819,0.617396064793072,3.3954603304397757e-13,0.2634151716714799,True
GPC1,6,8.027240777341486,9.96893145315991e-16,0.8333333333333334,5,1,0.26578101809042565,0.4672741292743141,0.93580243800929,-1.2068333311907162,0.420078589840667,0.284573935631885,3.5870815959283223e-13,0.26578101809042565,True
TNIK,6,8.00172191011777,1.2269123004272497e-15,1.0,6,0,0.47846972958525136,0.5652199155103403,1.9701079675861601,1.8169506595706517,1.01229508895724,0.110624177074291,4.320819658866348e-13,0.47846972958525136,True
MIDN,6,7.971269252655126,1.5705291303562788e-15,1.0,6,0,0.2613062640873567,0.3152434268486224,0.635708340824304,0.6811394896318994,0.356898223228333,0.289299351075047,5.415707951178569e-13,0.2613062640873567,True
CACNA2D1,6,7.957020153639892,1.7623201541840157e-15,1.0,6,0,0.22457233960269374,1.1562947471004104,2.0188647676189344,1.870918561018275,1.10099002150369,0.216543521254507,5.95304554939874e-13,0.22457233960269374,True
RHOC,5,7.885857453456024,3.1238303735254147e-15,1.0,5,0,,0.5652058536426576,1.2484848927627281,1.1098097430165206,0.78173070500022,0.670170708157891,1.0138360851488756e-12,,False
TLE3,6,7.8778710941976735,3.330060003377633e-15,1.0,6,0,0.15878982454760937,0.33171074686747914,0.7357660692358969,0.7148577618709799,0.39470727830576,0.358864874091503,1.0599837149212805e-12,0.15878982454760937,True
FOSL1,3,7.85637071789451,3.954235978934085e-15,1.0,3,0,,0.1983754220053895,1.2852777228867003,0.42207324289438575,,,1.2349153570437164e-12,,False
PLSCR3,6,7.825443197258371,5.058715665899879e-15,1.0,6,0,0.3117651903541985,0.11613032641796472,0.4182756050133074,0.6176306140855958,0.318653163514539,0.385454947579828,1.531092020471153e-12,0.3117651903541985,True
PRDX6,5,7.82472677668663,5.087606399583943e-15,1.0,5,0,,0.3431714207055858,0.7595666591438013,0.4931281352871002,0.253143014235885,0.240306789899274,1.531092020471153e-12,,False
