chembl_id,pref_name,max_phase,first_approval,smiles,inchi_key,atc,drh_phase,drh_moa,drh_indication,pain_prior,mw,logp,tpsa,hbd,hba,rotb,charge,formula,n_torsions,pass,reason
CHEMBL1243,SULFABENZAMIDE,4.0,1945.0,Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,PBCZLFBEBARBBI-UHFFFAOYSA-N,,Launched,bacterial antifolate,gram-negative bacterial infections|gram-positive bacterial infections,False,276.3,1.39,89.3,2.0,4.0,3.0,0.0,C13H12N2O3S,8.0,True,
CHEMBL142703,VILDAGLIPTIN,4.0,2007.0,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,SYOKIDBDQMKNDQ-XWTIBIIYSA-N,A10BH02,Launched,dipeptidyl peptidase inhibitor,diabetes mellitus,False,303.4,1.17,76.4,2.0,4.0,3.0,0.0,C17H25N3O2,10.0,True,
CHEMBL1245,TRIMETHAPHAN CAMSYLATE,4.0,1982.0,CC1(C)C2CCC1(CS(=O)(=O)[O-])C(=O)C2.O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,HALWUDBBYKMYPW-UHFFFAOYSA-M,,,,,False,365.5,3.66,23.6,0.0,1.0,4.0,1.0,C22H25N2OS+,8.0,True,
CHEMBL142635,NAFTOPIDIL,4.0,1999.0,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,HRRBJVNMSRJFHQ-UHFFFAOYSA-N,,Launched,adrenergic receptor antagonist,benign prostatic hyperplasia (BPH),False,392.5,3.41,45.2,1.0,5.0,7.0,0.0,C24H28N2O3,16.0,True,
CHEMBL1256,ISOFLURANE,4.0,1979.0,FC(F)OC(Cl)C(F)(F)F,PIWKPBJCKXDKJR-UHFFFAOYSA-N,N01AB06,Launched,inhaled anaesthetic,general anaesthetic,False,184.5,2.35,9.2,0.0,1.0,2.0,0.0,C3H2ClF5O,6.0,True,
CHEMBL142438,NITROGEN,4.0,2015.0,N#N,IJGRMHOSHXDMSA-UHFFFAOYSA-N,V03AN04,,,,False,,,,,,,,,,False,F2_mw_28
CHEMBL1257,ENFLURANE,4.0,1972.0,FC(F)OC(F)(F)C(F)Cl,JPGQOUSTVILISH-UHFFFAOYSA-N,N01AB04,Launched,membrane permeability inhibitor,anesthetic,False,184.5,2.35,9.2,0.0,1.0,3.0,0.0,C3H2ClF5O,6.0,True,
CHEMBL1259,METOCURINE,4.0,1982.0,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3,JFXBEKISTKFVAB-AJQTZOPKSA-N,,Launched,acetylcholine receptor antagonist,muscle relaxant,False,652.8,7.45,55.4,0.0,6.0,4.0,2.0,C40H48N2O6+2,22.0,True,
CHEMBL1261,CITRIC ACID,4.0,1982.0,O=C(O)CC(O)(CC(=O)O)C(=O)O,KRKNYBCHXYNGOX-UHFFFAOYSA-N,A09AB04,,,,False,192.1,-1.25,132.1,4.0,4.0,5.0,0.0,C6H8O7,18.0,True,
CHEMBL144673,HEXETIDINE,4.0,,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,DTOUUUZOYKYHEP-UHFFFAOYSA-N,G01AX16;A01AB12,Launched,local anesthetic,pharyngitis|meningitis|laryngitis|gingivitis|ulcerative colitis,False,339.6,4.71,32.5,1.0,3.0,12.0,0.0,C21H45N3,26.0,True,
CHEMBL1262,OXICONAZOLE,4.0,1988.0,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,QRJJEGAJXVEBNE-HKOYGPOVSA-N,G01AF17;D01AC11,Launched,bacterial cell wall synthesis inhibitor,tinea pedis|tinea cruris|tinea corporis,False,429.1,6.12,39.4,0.0,3.0,6.0,0.0,C18H13Cl4N3O,12.0,True,
CHEMBL1263,SALMETEROL,4.0,1994.0,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,GIIZNNXWQWCKIB-UHFFFAOYSA-N,R03AC12,Launched,adrenergic receptor agonist,asthma|chronic obstructive pulmonary disease (COPD)|bronchospasm,False,415.6,4.11,82.0,4.0,5.0,16.0,0.0,C25H37NO4,38.0,True,
CHEMBL1265,ADAPALENE,4.0,1996.0,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,LZCDAPDGXCYOEH-UHFFFAOYSA-N,D10AD53;D10AD03,Launched,retinoid receptor agonist,acne vulgaris (AV),False,412.5,6.68,46.5,1.0,2.0,4.0,0.0,C28H28O3,10.0,True,
CHEMBL146095,GLAFENINE,4.0,,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,GWOFUCIGLDBNKM-UHFFFAOYSA-N,N02BG03,Withdrawn,DeltaF508-CFTR Correctors,,False,372.8,3.14,91.7,3.0,6.0,6.0,0.0,C19H17ClN2O4,18.0,True,
CHEMBL1266,TETRAHYDROZOLINE,4.0,1979.0,c1ccc2c(c1)CCCC2C1=NCCN1,BYJAVTDNIXVSPW-UHFFFAOYSA-N,S01GA52;R01AA06;R01AB03;S01GA02,Launched,adrenergic receptor agonist,eye irritation,False,200.3,2.11,24.4,1.0,2.0,1.0,0.0,C13H16N2,2.0,True,
CHEMBL1271,PENTOLINIUM,4.0,1982.0,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,XSBSKEQEUFOSDD-UHFFFAOYSA-N,,Launched,cholinergic receptor antagonist,hypertension,False,240.4,2.64,0.0,0.0,0.0,6.0,2.0,C15H32N2+2,12.0,True,
CHEMBL1272,REPAGLINIDE,4.0,1997.0,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,FAEKWTJYAYMJKF-QHCPKHFHSA-N,A10BX02,Launched,insulin secretagogue,diabetes mellitus,False,452.6,5.22,78.9,2.0,4.0,10.0,0.0,C27H36N2O4,22.0,True,
