,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
STING1,1.1240159051136365,7.092858619764125,0.0002106244140500433,4.202576941263566,3.07856103614993,0.08200364418505811,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
ADAP2,1.135424832928536,7.657065318995268,0.00021378462448379458,2.970974367209451,1.835549534280915,0.08200364418505811,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
WT1,2.8964674115593994,10.746315437290681,0.00022211213227383788,4.304214116520562,1.4077467049611627,0.08384556713867321,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
SLFN8,1.1936757401170528,6.868183242609752,0.00023848275039134638,3.205123745537259,2.011448005420206,0.08793741246247151,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
TLR7,1.5865588815823974,7.87163875642608,0.0002403469771281073,3.6853388365372175,2.09877995495482,0.08793741246247151,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
SLC26A4,0.5882211630025961,8.722154947924047,0.0002541071773142034,0.6465438504087854,0.05832268740618927,0.0904189634322887,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
TMEM74B,1.6745515575960905,8.408257510861851,0.0002547334349492617,3.1439254264293313,1.4693738688332407,0.0904189634322887,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
FAM111A,1.340970652920006,6.748944322582493,0.0002652822292798238,5.302524042984563,3.9615533900645565,0.09067588049997156,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
DSC2,1.1537103550975099,7.10599877706916,0.00026856655895984865,2.1091526929989013,0.9554423379013915,0.09067588049997156,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
GRP,1.5035148488649077,15.02834619555019,0.00027395533215653225,1.5649294435395074,0.06141459467459964,0.09067588049997156,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
SCPEP1,0.9812812469843593,6.795504593654019,0.00028412323473259274,6.036756701192078,5.055475454207719,0.09067588049997156,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
OR51A42,0.33869398096178344,8.557173251473937,0.00028536379209329564,0.38557421116587315,0.04688023020408969,0.09067588049997156,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
TNFAIP6,0.7141677405828868,6.728585371405182,0.0002866424577250202,1.5694854528281652,0.8553177122452784,0.09067588049997156,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
CALB2,-0.9789981098885239,-6.862890048816903,0.000290287105502491,2.013676765540814,2.992674875429338,0.09067588049997156,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
CDCP1,2.3320940472523017,15.472433207218662,0.0002923813732482659,2.5678942141475196,0.2358001668952177,0.09067588049997156,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
GM6863,-0.74306504484446,-11.812967177578589,0.0002939321278984156,0.0,0.74306504484446,0.09067588049997156,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
AKR1B8,2.067824341764236,9.01018679731626,0.0002946542732596041,4.955999274565238,2.8881749328010025,0.09067588049997156,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
CDH23,0.8014189953365978,8.986256879813174,0.000297397976578832,1.3999043468132215,0.5984853514766237,0.09067588049997156,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
CTSC,1.049859385439091,6.573703502806234,0.00031411939096035347,6.5677205869296955,5.5178612014906046,0.09456186526353323,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
F13A1,1.6056846998332466,6.497344523063969,0.0003367138282993622,6.398801794081033,4.793117094247786,0.09924989277104905,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
WFDC17,1.5483311229304237,6.656683440643071,0.00033803890818497067,2.796673880068764,1.24834275713834,0.09924989277104905,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
UNC93B1,1.1157986534326785,7.159064722627183,0.00034426553850463136,5.605227033615357,4.489428380182678,0.09984540288679442,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
A930003A15RIK,0.9300657173686847,6.491714464828674,0.00036100737589824915,1.2862419318979548,0.35617621452927006,0.100611473713765,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
DHRS9,1.2744637246858574,6.436681998548591,0.00036405659504450144,1.8398552090769975,0.56539148439114,0.100611473713765,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
ANXA1,2.449892216346349,7.927769321797224,0.00036498580086863786,7.330443720754833,4.880551504408484,0.100611473713765,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
LDAF1,1.4214360970589994,7.8340360776999605,0.00037144155438958716,5.215413789664822,3.793977692605823,0.100611473713765,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
CRYBA2,2.1320622329684538,8.543734371158237,0.0003740972294538546,3.70551182004791,1.5734495870794565,0.100611473713765,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
PLAUR,2.3340826663875847,6.66630187451648,0.0003757038470050151,4.460780861478041,2.126698195090456,0.100611473713765,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
LIPH,2.371674636791374,11.991947608981743,0.00037652094695673555,2.8496856778641115,0.4780110410727375,0.100611473713765,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
CFP,0.9432617545099369,6.40168989021487,0.00038410360710143895,4.438430743439838,3.495168988929901,0.10061802918409818,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
P2RY6,1.3089779444510223,6.3651568766466236,0.00038933274186542303,3.5749521030763924,2.26597415862537,0.10061802918409818,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
MAN2B1,0.8529867279414178,7.0991880179848375,0.00039091388297336234,5.89432883261554,5.041342104674122,0.10061802918409818,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
TMPRSS11F,2.760361060422043,15.244318544874902,0.00039346887200913006,2.833912790517763,0.07355173009572004,0.10061802918409818,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
MRC1,1.619092776445072,6.633266489377647,0.0004004877380155079,7.03529340149239,5.416200625047318,0.10132339771792351,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
SMIM3,2.4057008005575375,11.288525879784608,0.0004135641016840602,5.359371174547826,2.9536703739902888,0.10205648633807808,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
AQP9,1.018721858686408,7.48543138782843,0.00041653646804561877,1.5626863858210445,0.5439645271346366,0.10205648633807808,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
FCGR1,1.715649391874507,8.371711129014406,0.000416678607334416,4.134039086314533,2.418389694440026,0.10205648633807808,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
SYT10,-0.5990673464318265,-6.368034685808161,0.00042206898107982133,0.6978312204130365,1.296898566844863,0.10205648633807808,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
ADGRE1,1.6454354504403907,6.520618889936714,0.0004289737128185,5.409735815880806,3.7643003654404152,0.10205648633807808,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
H3C4,0.7992960090604921,6.340649841780196,0.00043676046265650427,1.5370550859991798,0.7377590769386877,0.10205648633807808,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
C6,0.7696031888140676,6.4215068970692295,0.0004399465925264445,1.345393410885158,0.5757902220710903,0.10205648633807808,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
STK32B,1.1299796711607015,6.549570276643662,0.00044092421786164207,2.0241047095815055,0.8941250384208039,0.10205648633807808,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
IL13RA1,1.5618166061369756,8.023227300878451,0.00044477435520034987,5.874208373218185,4.312391767081209,0.10205648633807808,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
CCR1,1.7127952389191945,6.65882136056952,0.0004462986535682499,3.6147952229784996,1.9019999840593051,0.10205648633807808,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
CAPN3,1.3721542781361893,13.164606700317462,0.00045911170774697794,2.0512058839494376,0.6790516058132482,0.10344832627530054,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
KCNK16,3.2781729058758917,14.660069523721798,0.0004610849627946286,3.5006805619002934,0.22250765602440187,0.10344832627530054,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
CLEC4A1,1.2784477325773325,6.170355063086432,0.00047021922348122286,3.321982517945788,2.0435347853684553,0.10396228264858827,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
STMN4,3.1840887361790284,14.733788549924462,0.0004721186832918818,7.025611253233218,3.8415225170541896,0.10396228264858827,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
SOX11,3.026108989535064,13.176007335852605,0.00047657110512857047,6.818874031895864,3.7927650423608,0.1039799451575015,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
BCL3,0.7467614279354247,7.239731369787926,0.0004847423368380514,3.2141194597302407,2.467358031794816,0.10416844066947924,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
