symbol,K,Z_FE,p_FE,Q,tau2,I2,Z_RE,p_RE,FDR_RE,consistency,meta_FDR,FDR_FE,nerve_injury_consistency,K_nerve_injury,incision_lfc,incision_measured,incision_agreement
AHCTF1,5,-1.3534069096342924,0.17592567125265013,1.9417447637142289,0.0,0.0,-1.3534069096342927,0.17592567125265013,0.44345819318076224,0.8,0.2821082843028352,0.2821082843028352,0.75,4,-0.0902360576555869,True,1.0
CDCA5,4,-1.353307751663508,0.1759573338110062,3.2325248430552196,0.022319445221117337,7.193288662723743,-1.2648479208798218,0.20592584926717772,0.478585321127538,0.75,0.2821317242313064,0.2821317242313063,0.6666666666666666,3,-0.2536456976662624,True,1.0
CD209F,3,1.353076179790245,0.17603129457188382,1.870527636865604,0.0,0.0,1.3530761797902453,0.17603129457188382,0.44345819318076224,0.6666666666666666,0.2822229744046711,0.2822229744046708,0.6666666666666666,3,-0.0193275320965772,True,0.0
SLC22A8,6,1.3521111791993712,0.17633975160666737,0.3808699386616111,0.0,0.0,1.3521111791993707,0.17633975160666737,0.44367274093515235,1.0,0.2826901277088192,0.28269012770881924,1.0,5,0.4242051582957831,True,1.0
KRTAP8-1,3,1.3520453251816138,0.176360816151503,0.19663249252003712,0.0,0.0,1.3520453251816136,0.17636081615150323,0.44367274093515235,1.0,0.2826965164574547,0.28269651645745475,1.0,3,,False,
CD93,6,1.3519748114955645,0.1763833732511002,2.5230605091411267,0.0,0.0,1.3519748114955643,0.17638337325110043,0.44367274093515235,0.8333333333333334,0.2827052962188642,0.2827052962188642,0.8,5,0.0848930516074837,True,1.0
TNFRSF11A,6,1.3517691478726028,0.17644917666105453,6.840630527794877,0.14283408829507535,26.90732265565316,0.8350576827501512,0.4036852314443461,0.6635610653628826,0.5,0.2827833822708925,0.28278338227089217,0.6,5,0.3046522712403501,True,1.0
SIGLECH,5,1.3516976746382043,0.17647204926992677,5.079678435477281,0.09254564408316332,21.25485794409023,1.078233462184427,0.28092958230683085,0.5598972241231384,0.6,0.2827926575192011,0.2827926575192011,0.75,4,-0.0415083093024001,True,0.0
FAM169B,4,1.3516050131967832,0.17650170574264523,2.3426531505225174,0.0,0.0,1.3516050131967832,0.17650170574264523,0.44367274093515235,0.75,0.282800592641155,0.282800592641155,0.6666666666666666,3,0.2651451068778839,True,1.0
CABLES1,6,1.351575437699671,0.17651117221941592,3.096080189237146,0.0,0.0,1.351575437699671,0.17651117221941592,0.44367274093515235,0.5,0.282800592641155,0.282800592641155,0.6,5,0.135116899828934,True,1.0
MNDAL,3,-1.3508995741681444,0.17672760465947213,1.983011400383631,0.0,0.0,-1.3508995741681447,0.17672760465947202,0.44388396241632483,1.0,0.2831199489279503,0.2831199489279503,1.0,3,,False,
TSPY26,3,1.3501765481319417,0.1769593588695748,1.9062544451646655,0.0,0.0,1.3501765481319417,0.1769593588695748,0.4442638113164269,1.0,0.2834563934190767,0.28345639341907775,,2,0.3357093604385981,True,1.0
ELOVL1,6,1.3501375402905105,0.1769718686317514,31.660634782581646,2.068882051576186,84.20751815516097,1.4503592341263656,0.14695836887189548,0.4061490440884515,0.8333333333333334,0.2834563934190767,0.28345639341907775,1.0,5,-0.5705493543806437,True,0.0
TBP,6,1.3499763752556535,0.17702356102586114,9.714600593449388,0.3658559755865409,48.531080079900256,0.4255704584474887,0.6704208702375649,0.842391698901455,0.6666666666666666,0.2835117544363867,0.28351175443638643,0.6,5,0.0627601035635687,True,1.0
ELOA,6,1.349828931197072,0.1770708623789441,7.417962137684147,0.1876353848601466,32.59604312888854,0.6733683201226407,0.5007129978804102,0.737086583148039,0.6666666666666666,0.2835600729582316,0.28356007295823166,0.6,5,-0.0333928572296393,True,0.0
DYNLL1,5,1.349681450761392,0.17711818482065878,2.8868043560618055,0.0,0.0,1.3496814507613917,0.17711818482065878,0.4445058210980241,0.6,0.2836084158993466,0.28360841589934643,0.6,5,,False,
PLAC8L1,4,-1.3492962109815532,0.17724184218440175,7.315755811372489,0.4142579956360703,58.992617067173846,-1.3496249350937286,0.17713632165071092,0.4445058210980241,0.75,0.2837789680630895,0.28377896806308933,0.6666666666666666,3,-0.0970672603874031,True,1.0
ALOX12,6,1.3491038195614438,0.1773036216014321,4.240188472843562,0.0,0.0,1.3491038195614435,0.1773036216014321,0.444790776712171,0.6666666666666666,0.2838486999057556,0.28384869990574957,0.6,5,0.0197995016011862,True,1.0
TAF1,6,-1.349053779011124,0.17731969290873917,14.472205925233586,0.735049145954796,65.45101675700971,-0.5506365001225201,0.5818828824014899,0.7885185288618924,0.6666666666666666,0.2838486999057556,0.28384869990574957,0.8,5,0.2819388587844305,True,0.0
RBMS1,6,-1.3475982900448176,0.1777876208696222,12.828623157018763,0.60750608791549,61.024656046082285,-0.8761560343521143,0.3809452140213825,0.6454540874247574,0.6666666666666666,0.2845512243367701,0.2845512243367701,0.8,5,0.2335559333273096,True,0.0
IQCC,6,1.3475632801862216,0.1777988875683243,7.057231662707919,0.15964247279255916,29.150689123311867,1.1205718476338273,0.2624701539439914,0.5414264691028099,0.6666666666666666,0.2845512243367701,0.2845512243367701,0.8,5,-0.1308142602413728,True,0.0
