symbol,chembl_id,pref_name,drug_lc,mw,logp,tpsa,hbd,rotb,tag,rc,sec,reason,D1_affinity,D2_pharm_prior,D3_accessibility,D4_reliability,composite_upper_bound,top_k_threshold_top20,exceeds_top20_bound
AXL,CHEMBL3545432,IXAZOMIB CITRATE,ixazomib citrate,517.1,1.54,168.3,4.0,11.0,t2_other,1,23.46,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.2,0.8797731045932484,0.5719659656889873,0.7262349334519309,False
AXL,CHEMBL2218877,ERYTHROMYCIN ESTOLATE,erythromycin estolate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,603.84,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.8797731045932484,0.5719659656889873,0.7262349334519309,False
AXL,CHEMBL1201748,CABAZITAXEL,cabazitaxel,835.9,4.57,202.4,3.0,10.0,t2_other,-9,600.28,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.8797731045932484,0.5719659656889873,0.7262349334519309,False
AXL,CHEMBL325041,BORTEZOMIB,bortezomib,384.2,0.36,124.4,4.0,9.0,t2_other,1,3.07,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.2,0.8797731045932484,0.5719659656889873,0.7262349334519309,False
AXL,CHEMBL2220427,ERYTHROMYCIN PROPIONATE,erythromycin propionate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,602.14,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.8797731045932484,0.5719659656889873,0.7262349334519309,False
AXL,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,600.46,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.8797731045932484,0.5719659656889873,0.7262349334519309,False
TNIK,CHEMBL1136,TELITHROMYCIN,telithromycin,812.0,4.93,171.8,1.0,11.0,t2_other,-9,600.26,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.8242056993121519,0.5636308548968229,0.7262349334519309,False
TNIK,CHEMBL1201748,CABAZITAXEL,cabazitaxel,835.9,4.57,202.4,3.0,10.0,t2_other,-9,600.1,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.8242056993121519,0.5636308548968229,0.7262349334519309,False
TNIK,CHEMBL325041,BORTEZOMIB,bortezomib,384.2,0.36,124.4,4.0,9.0,t2_other,1,0.27,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.2,0.8242056993121519,0.5636308548968229,0.7262349334519309,False
TNIK,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,600.39,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.8242056993121519,0.5636308548968229,0.7262349334519309,False
TNIK,CHEMBL3545432,IXAZOMIB CITRATE,ixazomib citrate,517.1,1.54,168.3,4.0,11.0,t2_other,1,0.2,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.2,0.8242056993121519,0.5636308548968229,0.7262349334519309,False
TNIK,CHEMBL2218877,ERYTHROMYCIN ESTOLATE,erythromycin estolate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.12,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.8242056993121519,0.5636308548968229,0.7262349334519309,False
TNIK,CHEMBL2220427,ERYTHROMYCIN PROPIONATE,erythromycin propionate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.4,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.8242056993121519,0.5636308548968229,0.7262349334519309,False
ADRA2A,CHEMBL3707372,VOXILAPREVIR,voxilaprevir,861.0,5.35,195.2,3.0,8.0,t2_other,-9,600.23,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.5324652394614875,0.5598697859192232,0.7262349334519309,False
ADRA2A,CHEMBL3545060,ERYTHROMYCIN GLUCEPTATE,erythromycin gluceptate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,602.01,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.5324652394614875,0.5598697859192232,0.7262349334519309,False
ADRA2A,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,604.58,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.5324652394614875,0.5598697859192232,0.7262349334519309,False
ACVR1,CHEMBL325041,BORTEZOMIB,bortezomib,384.2,0.36,124.4,4.0,9.0,t2_other,1,5.2,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.2,0.7969667318982387,0.5595450097847359,0.7262349334519309,False
ACVR1,CHEMBL3545432,IXAZOMIB CITRATE,ixazomib citrate,517.1,1.54,168.3,4.0,11.0,t2_other,1,6.38,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.2,0.7969667318982387,0.5595450097847359,0.7262349334519309,False
ACVR1,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,600.6,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.7969667318982387,0.5595450097847359,0.7262349334519309,False
MAPK14,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,600.09,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.778536615334207,0.5567804923001312,0.7262349334519309,False
MAPK14,CHEMBL325041,BORTEZOMIB,bortezomib,384.2,0.36,124.4,4.0,9.0,t2_other,1,0.3,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.2,0.778536615334207,0.5567804923001312,0.7262349334519309,False
MAPK14,CHEMBL3545432,IXAZOMIB CITRATE,ixazomib citrate,517.1,1.54,168.3,4.0,11.0,t2_other,1,0.52,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.2,0.778536615334207,0.5567804923001312,0.7262349334519309,False
MAPK14,CHEMBL1136,TELITHROMYCIN,telithromycin,812.0,4.93,171.8,1.0,11.0,t2_other,-9,600.29,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.778536615334207,0.5567804923001312,0.7262349334519309,False
MAPK14,CHEMBL1201748,CABAZITAXEL,cabazitaxel,835.9,4.57,202.4,3.0,10.0,t2_other,-9,600.29,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.778536615334207,0.5567804923001312,0.7262349334519309,False
MAPK14,CHEMBL2220427,ERYTHROMYCIN PROPIONATE,erythromycin propionate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,601.04,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.778536615334207,0.5567804923001312,0.7262349334519309,False
MAPK14,CHEMBL2218877,ERYTHROMYCIN ESTOLATE,erythromycin estolate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.44,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.778536615334207,0.5567804923001312,0.7262349334519309,False
ITPKC,CHEMBL2110725,VINFLUNINE,vinflunine,816.9,5.08,133.9,2.0,7.0,t2_other,-9,600.26,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.5,0.555,0.7262349334519309,False
VASH2,CHEMBL269732,TACROLIMUS ANHYDROUS,tacrolimus anhydrous,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.22,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.5,0.555,0.7262349334519309,False
ITPKC,CHEMBL3989887,TACROLIMUS,tacrolimus,804.0,4.64,178.4,3.0,7.0,t2_other,-9,602.35,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.5,0.555,0.7262349334519309,False
ITPKC,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.55,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.5,0.555,0.7262349334519309,False
ITPKC,CHEMBL3545060,ERYTHROMYCIN GLUCEPTATE,erythromycin gluceptate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,601.27,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.5,0.555,0.7262349334519309,False
GALNS,CHEMBL269732,TACROLIMUS ANHYDROUS,tacrolimus anhydrous,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.13,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.5,0.555,0.7262349334519309,False
GALNS,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.12,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.5,0.555,0.7262349334519309,False
GALNS,CHEMBL3989887,TACROLIMUS,tacrolimus,804.0,4.64,178.4,3.0,7.0,t2_other,-9,601.61,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.5,0.555,0.7262349334519309,False
ITPKC,CHEMBL3707372,VOXILAPREVIR,voxilaprevir,861.0,5.35,195.2,3.0,8.0,t2_other,-9,600.31,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.5,0.555,0.7262349334519309,False
