miRNA,log2FC,t,p,FDR
hsa-miR-671-5p,0.3842517218673658,1.7745134004409024,0.08144135808544416,0.4005488574189431
hsa-miR-1260b,0.42763706553353376,1.7724425752833939,0.08157408672676056,0.4005488574189431
hsa-miR-106b-3p,0.21640109873836533,1.7768454457269438,0.08233377442624225,0.4005488574189431
hsa-miR-5189-3p,0.4766570206095446,1.7693077166958926,0.0825138743673038,0.4005488574189431
hsa-miR-132-3p,-0.30791587600772274,-1.7657413103036468,0.082755363226055,0.4005488574189431
hsa-miR-429,0.5398195054873427,1.7640110360440966,0.08299661009581703,0.4005488574189431
hsa-miR-760,0.49701997747489757,1.7598025982270886,0.0838427423385776,0.4011768550330624
hsa-miR-135a-5p,0.45425851244519033,1.7601425889355833,0.08392989259450455,0.4011768550330624
hsa-miR-6767-5p,0.30635549676545726,1.7530675366171837,0.08529275716834749,0.4057498305294244
hsa-miR-3942-5p,0.3210433954081624,1.7451532941853194,0.08631759730354789,0.4069794758222787
hsa-miR-320a-3p,0.16882485265370484,1.7445613071424257,0.08636601488921229,0.4069794758222787
hsa-miR-6724-5p,0.21237224317207307,1.7449547421120222,0.08743114630416646,0.40810391555244285
hsa-miR-199b-5p,0.38520276884322513,1.7366228023968011,0.08777638440592096,0.40810391555244285
hsa-miR-185-3p,0.34368763711789363,1.7366433891131925,0.08783017201579099,0.40810391555244285
hsa-miR-223-5p,0.3049204407988366,1.7241206284686896,0.09016767014151039,0.4170254744044856
hsa-miR-378a-5p,0.2916691576953352,1.7170462495480923,0.09130817157951907,0.4203542092531776
hsa-miR-455-5p,0.4141412153142092,1.7135166565486728,0.09204135352059498,0.42133223135146036
hsa-miR-30a-5p,0.3106839394719927,1.720111425129449,0.09238416651215339,0.42133223135146036
hsa-miR-376a-3p,0.386841970626147,1.7072767263388053,0.09351492342782337,0.42133223135146036
hsa-miR-375-3p,0.3935558062776927,1.7032838832693062,0.09388372997415541,0.42133223135146036
hsa-miR-3174,0.21115798531987057,1.6998783808016105,0.09460861680624116,0.42133223135146036
hsa-miR-107,0.4824140365268783,1.6975442020037181,0.09495672662947127,0.42133223135146036
hsa-miR-500a-5p,0.3880274156557886,1.6955263716892661,0.09534325809315158,0.42133223135146036
hsa-miR-185-5p,0.16477886653933815,1.6966148704682973,0.09539286649249823,0.42133223135146036
hsa-miR-214-5p,0.33467234668583934,1.6907104821330075,0.0962623460593376,0.42133223135146036
hsa-miR-130a-3p,0.21102526553025402,1.691230140814648,0.09648782563099645,0.42133223135146036
hsa-miR-6833-3p,0.2425337109502459,1.688907342941956,0.09663234678564966,0.42133223135146036
hsa-let-7e-3p,0.22237459221496836,1.6875452825959327,0.09691394044786689,0.42133223135146036
hsa-miR-4804-3p,0.1620141238982603,1.6895615569646896,0.09700341662746334,0.42133223135146036
hsa-miR-885-5p,0.5889622770817597,1.681482659441368,0.09926949378294571,0.42780384715842906
hsa-miR-6754-3p,-0.19131790763275855,-1.677263000800409,0.09934984238313868,0.42780384715842906
hsa-miR-505-5p,-0.24855873540950357,-1.6734817178733497,0.10026972776293767,0.4293010993208049
hsa-miR-3187-3p,0.36325730841254744,1.668304101649111,0.10090071560819745,0.4293010993208049
hsa-miR-129-5p,0.25464731565926757,1.666314155459761,0.10104939119378517,0.4293010993208049
hsa-miR-296-3p,0.19952079158227054,1.6784066617648152,0.10141647591562558,0.4293010993208049
hsa-miR-501-3p,0.22641954637451533,1.6637344610313758,0.10235293742921951,0.43143706536620374
hsa-miR-6758-3p,0.22658994261031917,1.6420036751580578,0.10601191997408674,0.44201686605773544
hsa-miR-145-5p,0.36146613377644243,1.6420179057552169,0.10615269324448255,0.44201686605773544
hsa-miR-217-5p,0.20696537239132795,1.6408112056727002,0.10689973245445081,0.44201686605773544
hsa-miR-4670-5p,0.08633401992640646,1.6390796153541747,0.10698391305105702,0.44201686605773544
hsa-let-7f-2-3p,0.20474285748761556,1.6341680581207523,0.10764477767408807,0.44201686605773544
hsa-miR-142-5p,0.25101423244497845,1.638960128618448,0.10780717051252377,0.44201686605773544
hsa-miR-3150a-3p,0.2858393276813542,1.632654462653786,0.10796007539348092,0.44201686605773544
hsa-miR-518c-3p,-0.1196389760314705,-1.6450689377790533,0.10848973463262974,0.4423724281550903
hsa-miR-23a-5p,0.19442005291230358,1.624375258465099,0.11015007835753238,0.447316781622662
hsa-miR-6857-3p,0.17312066410711896,1.6115030077443153,0.11265079503231785,0.45562001715500217
hsa-miR-125a-5p,0.2180935818444265,1.5991048644031876,0.11530046350776367,0.46283426669908445
hsa-miR-16-1-3p,0.29302677785552433,1.5958621498795749,0.11595602459921421,0.46283426669908445
hsa-miR-219a-5p,0.2524731956431075,1.595108318619062,0.11658021651262365,0.46283426669908445
hsa-miR-181a-2-3p,0.3325906108262391,1.6030081125274165,0.11674292492336155,0.46283426669908445
hsa-miR-361-5p,0.17355337625419764,1.592876036460889,0.11675098619436365,0.46283426669908445
hsa-miR-27b-3p,0.27849342911288844,1.5957384038375881,0.11746167957179418,0.4638111379139225
hsa-miR-127-3p,0.4889787992739829,1.57891431329884,0.11982220521178034,0.46403685750846596
hsa-miR-570-3p,0.300803074549729,1.5794575400404918,0.11993023113694608,0.46403685750846596
hsa-miR-33b-5p,0.30595528881008116,1.5785072162782503,0.12012245250083521,0.46403685750846596
hsa-miR-651-5p,0.30148474412022885,1.5773614016183504,0.12018240978971799,0.46403685750846596
hsa-miR-103b,0.12198952732871504,1.5759908448698559,0.12051269429694916,0.46403685750846596
hsa-miR-4742-3p,-0.41112748891511774,-1.5755459042101312,0.12076653176087734,0.46403685750846596
hsa-miR-6885-3p,0.11040655069025632,1.5775676657902984,0.12077035330550664,0.46403685750846596
hsa-miR-3157-5p,0.2707375511007024,1.5731648640729194,0.12131777021658675,0.46407164242614257
hsa-miR-221-3p,0.21569396035932442,1.566304804288686,0.12288448386871126,0.46407164242614257
hsa-miR-4435,0.2801549131755975,1.5633805604962145,0.12340342421582418,0.46407164242614257
hsa-miR-147b-3p,0.26783641686857196,1.562896759895659,0.12351832557298734,0.46407164242614257
hsa-miR-146a-5p,0.3218463030565335,1.562886650210511,0.12400694772822331,0.46407164242614257
hsa-miR-3667-3p,-0.2188090750483457,-1.5718242432789902,0.12436688753205692,0.46407164242614257
hsa-miR-122b-5p,0.4001442210169115,1.5600845896372018,0.12475063909201141,0.46407164242614257
hsa-miR-3614-3p,0.11882483531710733,1.5575261942058358,0.12506357230758794,0.46407164242614257
hsa-miR-664a-3p,0.31737380268778237,1.561830621452353,0.12524188190133134,0.46407164242614257
hsa-miR-551a,0.19951535798839443,1.5552202594082003,0.12553264900744077,0.46407164242614257
hsa-miR-3065-3p,0.2774134508606142,1.552925379647508,0.12588930440188653,0.46407164242614257
hsa-miR-6734-3p,0.25401217086065525,1.5511938048275047,0.12672197781076816,0.4653767594543075
hsa-miR-6741-3p,0.2789652942687133,1.5479407343447427,0.1272183824803481,0.4653767594543075
hsa-miR-4685-3p,0.327402534724508,1.5510540170551967,0.1276408729634437,0.4653767594543075
hsa-miR-550a-5p,0.2601646016150375,1.5419926843980494,0.12851429303784456,0.4668573772538426
hsa-miR-1843,0.24493336002034471,1.5381312826333897,0.1297820048777799,0.4697544306989208
hsa-miR-454-5p,0.21683440585724867,1.5391051981913548,0.13063331398726885,0.47112881109487936
hsa-miR-21-5p,0.17561112021103753,1.5271617358122413,0.13216650122526924,0.47356431398788296
hsa-miR-2110,0.18528264863444832,1.531151214035378,0.13225670030292228,0.47356431398788296
hsa-miR-218-5p,-0.5195043553324503,-1.5317461838501663,0.13279306891823325,0.4737866994618393
hsa-miR-548l,0.33426192716049097,1.5211276397802287,0.13408466726931517,0.47618962613398436
hsa-miR-4511,0.16334486172544202,1.518121466805385,0.13441989446424785,0.47618962613398436
hsa-miR-3140-3p,0.2875028709439116,1.515148888734031,0.135440844192963,0.478110965896714
hsa-miR-211-5p,-0.33469884255450055,-1.5130439888584344,0.13630836858069487,0.4794790852539231
hsa-miR-138-1-3p,0.0916102529976589,1.5091257208893267,0.13784841954859725,0.4828114832572151
hsa-miR-221-5p,0.2462214789265731,1.5036736757362135,0.13825127368317675,0.4828114832572151
hsa-miR-3684,0.21491819336191115,1.5056271892316517,0.13870560129611686,0.4828114832572151
hsa-miR-6859-5p,-0.2678051390208981,-1.5008444751154628,0.13975752434663577,0.4847839125773928
hsa-miR-3199,0.22068486707974744,1.4907541379473002,0.14155177354425832,0.48729822886670465
