chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,symbol,tag,exh,max_evals
CHEMBL1201288,-8.299,2,0.0,0.0,11.24,0,,ACVR1,t1_cns,1,0
CHEMBL1201293,-3.854,3,0.0,0.0,6.82,0,,ACVR1,t1_cns,1,0
CHEMBL1201317,-4.116,2,0.0,0.0,6.32,0,,ACVR1,t1_cns,1,0
CHEMBL1201319,-5.725,3,0.0,0.0,6.87,0,,ACVR1,t1_cns,1,0
CHEMBL1201323,-4.316,3,0.0,0.0,4.94,0,,ACVR1,t1_cns,1,0
CHEMBL1201336,-8.497,2,0.0,0.0,20.58,0,,ACVR1,t1_cns,1,0
CHEMBL1201338,-7.381,2,0.0,0.0,15.21,0,,ACVR1,t1_cns,1,0
CHEMBL1201340,-9.569,1,0.0,0.0,8.48,0,,ACVR1,t1_cns,1,0
CHEMBL1201353,-7.363,2,0.0,0.0,9.93,0,,ACVR1,t1_cns,1,0
CHEMBL1201354,-7.939,1,0.0,0.0,18.51,0,,ACVR1,t1_cns,1,0
CHEMBL1201747,-6.932,3,0.0,0.0,24.98,0,,ACVR1,t1_cns,1,0
CHEMBL1201754,-6.911,3,0.0,0.0,7.92,0,,ACVR1,t1_cns,1,0
CHEMBL1201758,-8.22,1,0.0,0.0,27.8,0,,ACVR1,t1_cns,1,0
CHEMBL1201764,-8.834,3,0.0,0.0,35.72,0,,ACVR1,t1_cns,1,0
CHEMBL1201776,-6.861,1,0.0,0.0,9.64,0,,ACVR1,t1_cns,1,0
CHEMBL1206690,-8.853,2,0.0,0.0,17.13,0,,ACVR1,t1_cns,1,0
CHEMBL1213351,-6.971,2,0.0,0.0,20.07,0,,ACVR1,t1_cns,1,0
CHEMBL1214124,-9.446,3,0.0,0.0,13.12,0,,ACVR1,t1_cns,1,0
CHEMBL1215,-5.592,3,0.0,0.0,6.58,0,,ACVR1,t1_cns,1,0
CHEMBL1218,-7.745,3,0.0,0.0,9.53,0,,ACVR1,t1_cns,1,0
CHEMBL1224,-9.424,1,0.0,0.0,18.84,0,,ACVR1,t1_cns,1,0
CHEMBL1231,-6.994,3,0.0,0.0,26.53,0,,ACVR1,t1_cns,1,0
CHEMBL1237021,-10.71,3,0.0,0.0,31.81,0,,ACVR1,t1_cns,1,0
CHEMBL1237044,-7.054,3,0.0,0.0,10.1,0,,ACVR1,t1_cns,1,0
CHEMBL1241,-7.036,1,0.0,0.0,11.25,0,,ACVR1,t1_cns,1,0
CHEMBL1254682,-8.24,2,0.0,0.0,7.35,0,,ACVR1,t1_cns,1,0
CHEMBL1256,-4.707,2,0.0,0.0,4.72,0,,ACVR1,t1_cns,1,0
CHEMBL1256786,-7.608,1,0.0,0.0,27.37,0,,ACVR1,t1_cns,1,0
CHEMBL1256841,-7.411,2,0.0,0.0,16.93,0,,ACVR1,t1_cns,1,0
CHEMBL1257,-4.521,2,0.0,0.0,4.72,0,,ACVR1,t1_cns,1,0
CHEMBL1259,-4.255,3,0.0,0.0,179.57,0,,ACVR1,t1_cns,1,0
CHEMBL126224,-5.727,2,0.0,0.0,29.52,0,,ACVR1,t1_cns,1,0
CHEMBL1263,-7.318,2,0.0,0.0,72.06,0,,ACVR1,t1_cns,1,0
CHEMBL1266,-7.339,2,0.0,0.0,4.82,0,,ACVR1,t1_cns,1,0
CHEMBL12713,-10.62,3,0.0,0.0,22.72,0,,ACVR1,t1_cns,1,0
CHEMBL127516,-6.213,2,0.0,0.0,8.26,0,,ACVR1,t1_cns,1,0
CHEMBL1278,-7.675,2,0.0,0.0,15.81,0,,ACVR1,t1_cns,1,0
CHEMBL1279,-8.232,2,0.0,0.0,6.63,0,,ACVR1,t1_cns,1,0
CHEMBL128,-6.836,2,0.0,0.0,12.34,0,,ACVR1,t1_cns,1,0
CHEMBL1286,-4.962,3,0.0,0.0,5.4,0,,ACVR1,t1_cns,1,0
CHEMBL1290,-7.291,1,0.0,0.0,15.9,0,,ACVR1,t1_cns,1,0
CHEMBL1291,-7.113,3,0.0,0.0,18.32,0,,ACVR1,t1_cns,1,0
CHEMBL1294,-8.167,3,0.0,0.0,13.55,0,,ACVR1,t1_cns,1,0
CHEMBL13,-6.068,1,0.0,0.0,17.7,0,,ACVR1,t1_cns,1,0
CHEMBL1303,-8.328,2,0.0,0.0,15.0,0,,ACVR1,t1_cns,1,0
CHEMBL1305,-7.752,2,0.0,0.0,11.94,0,,ACVR1,t1_cns,1,0
CHEMBL131,-8.582,2,0.0,0.0,11.69,0,,ACVR1,t1_cns,1,0
CHEMBL13209,-7.409,2,0.0,0.0,23.29,0,,ACVR1,t1_cns,1,0
CHEMBL1321,-7.167,1,0.0,0.0,8.75,0,,ACVR1,t1_cns,1,0
CHEMBL13280,-7.629,3,0.0,0.0,28.27,0,,ACVR1,t1_cns,1,0
CHEMBL134,-6.593,3,0.0,0.0,5.21,0,,ACVR1,t1_cns,1,0
CHEMBL1341,-4.094,3,0.0,0.0,3.73,0,,ACVR1,t1_cns,1,0
CHEMBL1346,-10.62,2,0.0,0.0,30.64,0,,ACVR1,t1_cns,1,0
CHEMBL135400,-9.243,2,0.0,0.0,14.09,0,,ACVR1,t1_cns,1,0
CHEMBL1372950,-10.2,2,0.0,0.0,20.2,0,,ACVR1,t1_cns,1,0
CHEMBL1373,-8.121,1,0.0,0.0,11.35,0,,ACVR1,t1_cns,1,0
CHEMBL1378,-8.568,2,0.0,0.0,18.05,0,,ACVR1,t1_cns,1,0
CHEMBL1382,-8.733,2,0.0,0.0,18.4,0,,ACVR1,t1_cns,1,0
CHEMBL139,-7.768,2,0.0,0.0,10.65,0,,ACVR1,t1_cns,1,0
CHEMBL14,-3.881,1,0.0,0.0,5.82,0,,ACVR1,t1_cns,1,0
CHEMBL1404,-8.505,2,0.0,0.0,38.64,0,,ACVR1,t1_cns,1,0
CHEMBL1410743,-4.534,3,0.0,0.0,3.32,0,,ACVR1,t1_cns,1,0
CHEMBL1411979,-6.232,2,0.0,0.0,10.5,0,,ACVR1,t1_cns,1,0
CHEMBL1414320,-8.441,2,0.0,0.0,39.73,0,,ACVR1,t1_cns,1,0
CHEMBL1420,-5.17,3,0.0,0.0,5.04,0,,ACVR1,t1_cns,1,0
CHEMBL1423,-9.824,3,0.0,0.0,37.93,0,,ACVR1,t1_cns,1,0
CHEMBL142635,-9.4,2,0.0,0.0,27.19,0,,ACVR1,t1_cns,1,0
CHEMBL1428,-7.023,2,0.0,0.0,33.58,0,,ACVR1,t1_cns,1,0
