finetype,n_cells,symbol,mean_lognorm,pct_expressing
Immune,73,VASH2,0.020948249846696854,0.0684931506849315
Immune,73,TNIK,0.18338975310325623,0.1643835616438356
Immune,73,WDR81,0.10793527960777283,0.1643835616438356
Immune,73,CCDC160,0.014619183726608753,0.0273972602739726
Immune,73,SLC2A1,0.12299683690071106,0.1917808219178082
Immune,73,ANKRD13B,0.06045572832226753,0.1095890410958904
Immune,73,NPY,0.06519196927547455,0.0821917808219178
Immune,73,AXL,0.49515679478645325,0.410958904109589
Immune,73,SERPINE1,0.047092750668525696,0.0410958904109589
Immune,73,WBP1L,0.08591402322053909,0.0958904109589041
Immune,73,ITPKC,0.03594571724534035,0.0958904109589041
Immune,73,ACVR1,0.07196877151727676,0.136986301369863
Immune,73,LNP1,0.0,0.0
Immune,73,AGRN,0.037157028913497925,0.0821917808219178
Immune,73,VIP,0.0,0.0
Immune,73,REG3B,0.0033111057709902525,0.0136986301369863
Immune,73,TNS3,0.2250257283449173,0.2602739726027397
Immune,73,ANKRD1,0.0,0.0
Immune,73,CTTN,0.23561851680278778,0.2328767123287671
Immune,73,RUBCN,0.13145548105239868,0.1643835616438356
Immune,73,MEGF11,0.0,0.0
Injured_RegenNeuron,4470,SPRR1A,3.091247797012329,0.9812080536912752
Injured_RegenNeuron,4470,ATF3,2.4700136184692383,0.9941834451901566
Injured_RegenNeuron,4470,TFE3,0.2357800155878067,0.7002237136465325
Injured_RegenNeuron,4470,CDHR5,0.0,0.0
Injured_RegenNeuron,4470,GALNS,0.041881170123815536,0.18970917225950784
Injured_RegenNeuron,4470,CHL1,1.3205252885818481,0.9375838926174497
Injured_RegenNeuron,4470,FLNC,0.384743332862854,0.5272930648769575
Injured_RegenNeuron,4470,RNF19B,0.6257694363594055,0.8939597315436242
Injured_RegenNeuron,4470,SRRM4,0.4166896343231201,0.8351230425055929
Injured_RegenNeuron,4470,ECEL1,0.9890447854995728,0.8789709172259508
Injured_RegenNeuron,4470,FLRT3,1.3541290760040283,0.9715883668903803
Injured_RegenNeuron,4470,PTPN23,0.25337910652160645,0.7076062639821029
Injured_RegenNeuron,4470,MAPK14,0.41553497314453125,0.8498881431767338
Injured_RegenNeuron,4470,VASH2,0.1393507719039917,0.48165548098434
Injured_RegenNeuron,4470,TNIK,1.046892762184143,0.9507829977628636
Injured_RegenNeuron,4470,WDR81,0.13732293248176575,0.4968680089485459
Injured_RegenNeuron,4470,CCDC160,0.016403956338763237,0.08881431767337808
Injured_RegenNeuron,4470,SLC2A1,0.48614418506622314,0.8642058165548099
Injured_RegenNeuron,4470,ANKRD13B,0.48483699560165405,0.8758389261744967
Injured_RegenNeuron,4470,NPY,0.379785418510437,0.436241610738255
Injured_RegenNeuron,4470,AXL,0.03451809287071228,0.14272930648769575
Injured_RegenNeuron,4470,SERPINE1,0.020374000072479248,0.07472035794183446
Injured_RegenNeuron,4470,WBP1L,0.14547331631183624,0.5328859060402684
Injured_RegenNeuron,4470,ITPKC,0.15180382132530212,0.5161073825503356
Injured_RegenNeuron,4470,ACVR1,0.24815687537193298,0.6532438478747203
Injured_RegenNeuron,4470,LNP1,2.0186786059639417e-05,0.00022371364653243848
Injured_RegenNeuron,4470,AGRN,0.058496832847595215,0.24742729306487696
Injured_RegenNeuron,4470,VIP,2.671350921445992e-05,0.00022371364653243848
Injured_RegenNeuron,4470,REG3B,0.008743838407099247,0.016554809843400447
Injured_RegenNeuron,4470,TNS3,0.07405668497085571,0.2941834451901566
Injured_RegenNeuron,4470,ANKRD1,0.0298164002597332,0.09015659955257271
Injured_RegenNeuron,4470,CTTN,0.9179348945617676,0.9599552572706935
Injured_RegenNeuron,4470,RUBCN,0.19861610233783722,0.658165548098434
Injured_RegenNeuron,4470,MEGF11,0.0011837518541142344,0.004697986577181208
Myelinated_Proprio,3668,SPRR1A,0.4487622380256653,0.2044711014176663
Myelinated_Proprio,3668,ATF3,0.5090914964675903,0.32633587786259544
Myelinated_Proprio,3668,TFE3,0.07993590086698532,0.18238822246455835
Myelinated_Proprio,3668,CDHR5,0.0,0.0
Myelinated_Proprio,3668,GALNS,0.010806038044393063,0.04034896401308615
Myelinated_Proprio,3668,CHL1,0.2047921121120453,0.1627589967284624
Myelinated_Proprio,3668,FLNC,0.02293705940246582,0.02535441657579062
