symbol,chembl_id,pref_name,drug_lc,mw,logp,tpsa,hbd,rotb,tag,rc,sec,reason
GALNS,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.59,unsupported_atom_type_B（含硼药物，Vina 无法解析）
GALNS,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.12,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL3545363,GLECAPREVIR,glecaprevir,838.9,3.86,195.2,3.0,6.0,t2_other,-9,600.07,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL3545432,IXAZOMIB CITRATE,ixazomib citrate,517.1,1.54,168.3,4.0,11.0,t2_other,1,0.81,unsupported_atom_type_B（含硼药物，Vina 无法解析）
GALNS,CHEMBL3989887,TACROLIMUS,tacrolimus,804.0,4.64,178.4,3.0,7.0,t2_other,-9,601.61,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,602.04,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL4297588,ODEVIXIBAT,odevixibat,740.9,5.88,174.4,5.0,17.0,t2_other,-9,600.2,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,0.51,unsupported_atom_type_B（含硼药物，Vina 无法解析）
GALNS,CHEMBL444633,RIFABUTIN,rifabutin,847.0,4.62,205.5,5.0,4.0,t2_other,-9,600.12,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.48,unsupported_atom_type_B（含硼药物，Vina 无法解析）
GALNS,CHEMBL529,AZITHROMYCIN,azithromycin,749.0,1.9,180.1,5.0,7.0,t2_other,-9,600.1,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL5315120,ODEVIXIBAT SESQUIHYDRATE,odevixibat sesquihydrate,740.9,5.88,174.4,5.0,17.0,t2_other,-9,600.25,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL5315122,BORTEZOMIB D-MANNITOL,bortezomib d-mannitol,530.4,-1.13,183.4,6.0,13.0,t2_other,1,0.62,unsupported_atom_type_B（含硼药物，Vina 无法解析）
GALNS,CHEMBL532,ERYTHROMYCIN,erythromycin,733.9,1.79,193.9,5.0,7.0,t2_other,-9,600.1,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL1136,TELITHROMYCIN,telithromycin,812.0,4.93,171.8,1.0,11.0,t2_other,-9,600.2,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL1200510,ERYTHROMYCIN STEARATE,erythromycin stearate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,600.17,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL1201748,CABAZITAXEL,cabazitaxel,835.9,4.57,202.4,3.0,10.0,t2_other,-9,600.41,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL159,VINBLASTINE,vinblastine,811.0,3.99,154.1,3.0,7.0,t2_other,-9,601.0,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL2110725,VINFLUNINE,vinflunine,816.9,5.08,133.9,2.0,7.0,t2_other,-9,600.26,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL2218877,ERYTHROMYCIN ESTOLATE,erythromycin estolate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.23,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL2220427,ERYTHROMYCIN PROPIONATE,erythromycin propionate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.13,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL269732,TACROLIMUS ANHYDROUS,tacrolimus anhydrous,804.0,4.64,178.4,3.0,7.0,t2_other,-9,601.08,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL325041,BORTEZOMIB,bortezomib,384.2,0.36,124.4,4.0,9.0,t2_other,1,1.52,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ITPKC,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.35,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ITPKC,CHEMBL3545060,ERYTHROMYCIN GLUCEPTATE,erythromycin gluceptate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,601.27,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.55,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL3545432,IXAZOMIB CITRATE,ixazomib citrate,517.1,1.54,168.3,4.0,11.0,t2_other,1,0.62,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ITPKC,CHEMBL3707372,VOXILAPREVIR,voxilaprevir,861.0,5.35,195.2,3.0,8.0,t2_other,-9,600.31,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL378544,VINBLASTINE SULFATE,vinblastine sulfate,811.0,3.99,154.1,3.0,7.0,t2_other,-9,602.79,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL3989887,TACROLIMUS,tacrolimus,804.0,4.64,178.4,3.0,7.0,t2_other,-9,602.35,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,606.13,timeout_600s（大环/高柔性分子）
ITPKC,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,1.04,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ITPKC,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.58,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ITPKC,CHEMBL5315122,BORTEZOMIB D-MANNITOL,bortezomib d-mannitol,530.4,-1.13,183.4,6.0,13.0,t2_other,1,0.44,unsupported_atom_type_B（含硼药物，Vina 无法解析）
MAPK14,CHEMBL1136,TELITHROMYCIN,telithromycin,812.0,4.93,171.8,1.0,11.0,t2_other,-9,600.29,timeout_600s（大环/高柔性分子）
MAPK14,CHEMBL1200686,PIMECROLIMUS,pimecrolimus,810.5,5.72,158.1,2.0,6.0,t2_other,-9,600.24,timeout_600s（大环/高柔性分子）
MAPK14,CHEMBL1201748,CABAZITAXEL,cabazitaxel,835.9,4.57,202.4,3.0,10.0,t2_other,-9,600.29,timeout_600s（大环/高柔性分子）
MAPK14,CHEMBL1741,CLARITHROMYCIN,clarithromycin,748.0,2.44,182.9,4.0,8.0,t2_other,-9,602.2,timeout_600s（大环/高柔性分子）
MAPK14,CHEMBL2218877,ERYTHROMYCIN ESTOLATE,erythromycin estolate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.44,timeout_600s（大环/高柔性分子）
MAPK14,CHEMBL2220427,ERYTHROMYCIN PROPIONATE,erythromycin propionate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,601.04,timeout_600s（大环/高柔性分子）
MAPK14,CHEMBL269732,TACROLIMUS ANHYDROUS,tacrolimus anhydrous,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.85,timeout_600s（大环/高柔性分子）
MAPK14,CHEMBL325041,BORTEZOMIB,bortezomib,384.2,0.36,124.4,4.0,9.0,t2_other,1,0.3,unsupported_atom_type_B（含硼药物，Vina 无法解析）
MAPK14,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.35,unsupported_atom_type_B（含硼药物，Vina 无法解析）
