,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
SLITRK5,-0.5674483421638321,-7.695819362087737,3.061468465021375e-05,4.536019030966561,5.1034673731303934,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ZFP521,-0.2714906071385581,-7.937425295208208,3.0801446737960005e-05,4.890459614591446,5.161950221730004,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
FKBP7,-0.22515851699589717,-7.184038897774417,3.1189555765782214e-05,3.3901300225711353,3.6152885395670324,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
RHOU,0.8308956792615483,8.86088019924582,3.290460178081777e-05,5.697974302992349,4.867078623730801,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
BDKRB2,0.8365618928139584,7.248178784713762,3.305009709403468e-05,5.4475169851728396,4.610955092358881,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
SLC39A1,0.36085533837371386,7.1276219184221095,3.3356434351151526e-05,5.978031673215679,5.617176334841965,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
PRKRIP1,0.23651113126400958,7.587223024741645,3.3687219819241664e-05,5.3494831159690115,5.112971984705002,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
NFYB,0.4771313594471174,7.1230657532887935,3.368936015622226e-05,4.918980201611521,4.441848842164403,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
TNFAIP1,0.20590090393191574,7.4769153947949025,3.394393227726456e-05,6.942177614492617,6.736276710560701,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
CSRNP1,1.5479836218314702,9.14359976918032,3.42672013065828e-05,3.750818546384433,2.202834924552963,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
CRMP1,0.3766168227231219,7.513772813890325,3.473892128842947e-05,6.984245798348859,6.607628975625737,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
GPSM1,0.30026412345888787,7.504691455904092,3.5190021198141285e-05,5.958710377645233,5.658446254186345,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ATP1B2,0.6561623879585197,7.0641491054132475,3.5555511992273353e-05,7.74526827598062,7.0891058880221,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ARID5A,2.0037633133987844,9.970593117509384,3.580959310658059e-05,5.236883116773352,3.233119803374567,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
USP22,0.13270110342157437,7.634664809024365,3.603261571798512e-05,6.668648258281532,6.535947154859958,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
SLC3A2,0.37258461675921595,7.186782880942352,3.801175702786196e-05,7.387927426716881,7.015342809957665,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
DUSP1,0.6522592797441966,7.854896120001863,3.807828718242785e-05,4.951774385400906,4.29951510565671,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
GADD45G,1.6387224992581624,9.572082081506665,3.8800132724189455e-05,4.898395876720991,3.2596733774628284,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
CD274,0.5423026941610498,7.138806332658581,3.8858251402527024e-05,5.5358330121298716,4.993530317968822,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
TNFRSF1A,0.8034567394347283,8.481953303090975,3.902887331586878e-05,6.429379931242927,5.625923191808199,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
SUSD6,0.24422668585897522,7.358064498940419,3.947216961438172e-05,7.507064083885872,7.262837398026897,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
FAM210B,0.6244621630041385,6.9584684499196605,3.96149438590091e-05,5.263846221551126,4.639384058546987,0.00916925349212308,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
FAM81A,-0.7169816213433471,-6.965844235405279,4.025360760606604e-05,2.9441600145578373,3.6611416359011844,0.009192850547689323,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
SBNO2,1.4659416531492289,9.598343874441184,4.227817108770061e-05,6.4551684949024235,4.989226841753195,0.009528164663028105,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
CIC,0.32363541047910793,7.971583976149608,4.3121430532827985e-05,8.005608557626244,7.681973147147136,0.009591998209951658,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
HSPB1,0.7716365552213258,7.617710779804995,4.387793389744677e-05,8.392724859902055,7.621088304680729,0.009635144253788055,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
SMAGP,2.1574918577268054,9.357706217625715,4.6181910002010334e-05,3.2647202620976663,1.1072284043708611,0.010002058736396518,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ANKRD33B,1.2016155316073585,7.295932947452073,4.671676196355216e-05,4.093208745746774,2.891593214139416,0.010002058736396518,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
TSPAN31,0.22692909690606644,9.136507571888972,4.871561733634177e-05,6.015293640547736,5.78836454364167,0.010254364926705568,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
MYC,1.0997707867716024,8.023814066326388,4.9092592479557254e-05,4.3870897034345235,3.287318916662921,0.010254364926705568,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
SOCS3,2.409150770028931,10.646595227721564,4.972068863189907e-05,5.593396506393325,3.1842457363643937,0.010260433191411653,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
MIDN,0.660697118549721,10.653453338654803,5.05660298898011e-05,6.561351380711877,5.900654262162156,0.010310654285148968,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ATG12,0.4109760733546137,6.902346711173891,5.122561849699966e-05,6.920678540660016,6.509702467305402,0.010322263454313061,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
RAB5IF,0.2911775157421017,7.54582231301818,5.295717438718839e-05,5.677031078823105,5.385853563081003,0.010547098638415846,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
SLC35E4,0.566840117574106,7.758419276302301,5.5735905689832716e-05,5.773303382462042,5.206463264887936,0.010940151474754831,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
SLC26A2,0.9094035975741352,7.424448132108647,5.634428453283345e-05,5.236812454024743,4.3274088564506075,0.010940151474754831,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
KDM8,-0.24272605332763364,-6.999925738662333,5.745763298966583e-05,3.999974143465639,4.2427001967932725,0.010940151474754831,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
SYTL3,0.9199389721944318,7.894972039970234,5.748561610975799e-05,5.206875670228019,4.286936698033587,0.010940151474754831,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
MEX3B,0.43987427346854613,6.625482549397356,5.959998556558859e-05,3.2844801051313692,2.844605831662823,0.011062272354261991,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ZFAND2A,0.7441393556496143,8.381607722221375,6.0410551444224986e-05,6.8197651229847365,6.075625767335122,0.011062272354261991,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
FGF9,-0.32258472317950293,-6.933202941241648,6.119677980953285e-05,5.324807873923754,5.647392597103257,0.011062272354261991,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
IDH2,-0.2202339064362837,-6.650018597807423,6.157980856760615e-05,5.1812832491055625,5.401517155541846,0.011062272354261991,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
EPN2,0.13139239394829705,6.597339064878024,6.159843802399522e-05,7.106148742091708,6.974756348143411,0.011062272354261991,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
PTPN1,0.46247289457738905,7.244430135333362,6.200246064976361e-05,5.213210028639446,4.7507371340620566,0.011062272354261991,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
LINGO3,-0.4199427117026732,-7.272138550677279,6.616326362241022e-05,0.34385302603110074,0.763795737733774,0.011636509110732383,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
SLITRK3,-0.6724136427632414,-7.909017284332902,6.735577321190522e-05,5.986025708729699,6.65843935149294,0.011636509110732383,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
TIPRL,0.3582373930951217,7.276795704320569,6.793089642615556e-05,5.560494737441992,5.2022573443468705,0.011636509110732383,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ENC1,0.8581872379363742,7.741472594353193,6.793851652692891e-05,4.433374533489143,3.575187295552769,0.011636509110732383,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
RGL1,0.16211859121127414,6.57584977656833,6.983854722344481e-05,6.596528788360413,6.4344101971491385,0.0118435112558729,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
IFITM3,0.8848132196257765,6.588625475245978,7.279138928652836e-05,6.052945689492211,5.168132469866435,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
FAM217B,-0.3750692441558341,-6.4542144722947485,7.309731226847308e-05,4.8196202648997515,5.194689509055586,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
DGCR8,0.31463916404091563,6.638139699562034,7.43943508913877e-05,5.037914504903088,4.723275340862172,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ZBTB38,0.4178648424192133,7.176771342668139,7.492674207006919e-05,5.354350959321311,4.936486116902098,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
MAB21L2,-0.5381668329236624,-6.430809930936298,7.534538239217194e-05,3.920773736085567,4.458940569009229,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
RASD1,1.6789837389086637,8.366769177887003,7.809897260760444e-05,3.918655479338618,2.239671740429954,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
CSF1,1.1150235697429647,6.526547327863323,7.837671403640224e-05,5.670187276370924,4.555163706627959,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
PKIB,0.6969955075473333,6.8070190514756375,7.9238094017647e-05,4.7886986799305395,4.091703172383206,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ABHD5,0.21397347177930115,6.391525870589846,7.968943618406685e-05,5.6869114705772725,5.472937998797971,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
FAM83H,0.3040404822958749,6.785657898788855,8.020107498560408e-05,4.445585833326244,4.141545351030369,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
PTPN23,0.27311547044615736,7.414002933423203,8.096062006195742e-05,6.217551571457315,5.944436101011157,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
RCSD1,-0.5500384652086092,-7.386011110271878,8.165396841099966e-05,3.853635127735746,4.403673592944355,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
DENND2A,0.2963540183341573,6.4300872348855425,8.195923473694392e-05,5.475549093070367,5.17919507473621,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ITPKC,1.5229442400901823,9.293769317718827,8.241786621569879e-05,5.01144340694053,3.4884991668503478,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
A3GALT2,0.2628876644562874,6.358308796714277,8.323543568902435e-05,7.140950746910232,6.878063082453944,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
GCNT2,0.4033954746146726,6.431446251804222,8.379711428144317e-05,6.271392738229944,5.867997263615272,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
DYRK3,1.011178434600474,6.967859370700163,8.396835432322569e-05,3.2706427232576267,2.2594642886571528,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
FUT7,0.4509222400804349,6.521855388027644,8.406781531400943e-05,2.754805850309564,2.303883610229129,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
CISH,0.8666401021239176,6.465032403033453,8.424840454909578e-05,5.203820343572169,4.337180241448252,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
RUNX1T1,-0.4652186160120779,-6.4946826368896335,8.450255598775521e-05,4.025916578427734,4.491135194439812,0.011961651065770837,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
RBM15B,0.31073113153643117,6.333085334560031,8.535984514012591e-05,4.76503378704113,4.454302655504699,0.011983962520984236,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
CREM,1.1264932119283908,7.202426713014831,8.625765014953635e-05,4.84225771375577,3.7157645018273793,0.012009591684816205,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
TBK1,-0.18396938717445455,-6.356521634059557,8.715936515806811e-05,5.281932245479801,5.465901632654256,0.012009591684816205,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
TXNRD1,0.5596635362070908,7.3383046565905925,8.795570456076336e-05,7.580644130414633,7.0209805942075425,0.012009591684816205,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
SPTSSB,-0.48193774306573856,-6.339782464176497,8.834706634089456e-05,2.627833197583625,3.1097709406493634,0.012009591684816205,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
KCNS3,-0.4636103565814622,-6.332191176225287,8.964450565693678e-05,5.752875484670383,6.216485841251846,0.012062698979644694,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
CLDN23,0.807952921153946,6.439543933496623,9.092022660404295e-05,1.864205515044529,1.056252593890583,0.012062698979644694,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
TOGARAM2,0.7388791825880874,7.772977617409232,9.093384448335792e-05,2.4939621381012573,1.75508295551317,0.012062698979644694,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
TIFA,0.6920069342574799,6.3894893891234075,9.228673199332909e-05,4.259865139619038,3.5678582053615577,0.012062698979644694,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
CNTN6,-0.7134203896752762,-7.654040542173283,9.327085610402359e-05,2.40516368177738,3.118584071452656,0.012062698979644694,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ADAMTS1,0.7680588939742474,6.426153679451765,9.34218283261267e-05,5.391375166951842,4.623316272977594,0.012062698979644694,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
C2CD2,0.6720658736501894,6.420429606432566,9.439701361019241e-05,6.5919354934426515,5.919869619792462,0.012062698979644694,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
RIPOR1,0.7048602248175415,8.803615138985242,9.468191169502843e-05,7.468894126047864,6.764033901230323,0.012062698979644694,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
JUNB,0.9517983258820983,7.672982463245834,9.507615379799356e-05,5.0153721030137755,4.063573777131677,0.012062698979644694,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
EIF2AK3,0.6467991866868763,8.190982727076367,9.683256835731412e-05,6.076823749525872,5.430024562838995,0.012195207579588795,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
UST,-0.298868109467751,-6.737200369623063,9.761941831040173e-05,5.9026179638265335,6.2014860732942845,0.012204564940296064,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
RRP12,0.5740721095399586,8.091264622933974,9.997475937102719e-05,5.829944929639896,5.255872820099937,0.012276340712764138,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
FAM189A2,0.39114699077074633,7.524018533462509,0.00010041420269088146,4.766378438628419,4.375231447857673,0.012276340712764138,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
LRP8,0.4088900093949803,6.302388026954942,0.00010045412278383091,5.984636920025435,5.575746910630454,0.012276340712764138,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
BTBD3,-0.3484404135153394,-6.380361538454935,0.00010237810518314071,6.6096985164897335,6.958138930005073,0.012276340712764138,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
FLRT3,2.7349302814784187,10.667216138410845,0.00010276539323380975,7.085975236271518,4.3510449547931,0.012276340712764138,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ZFP157,-0.3563230909043429,-6.194885586034514,0.00010347137368222548,3.8503801273701757,4.2067032182745185,0.012276340712764138,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
