celltype,contrast,symbol,mean_A,mean_B,delta_log,n_A,n_B,welch_p,note,bh_q
Microglia,SNI_vs_Sham,SRRM4,0.12878389656543732,0.11943428218364716,0.009349614381790161,3,2,0.874794065952301,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,ECEL1,0.01600656844675541,0.01361396349966526,0.002392604947090149,3,2,0.8125452995300293,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,FLRT3,0.024869412183761597,0.054201290011405945,-0.029331877827644348,3,2,0.2863675355911255,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,PTPN23,0.03989332914352417,0.06531116366386414,-0.025417834520339966,3,2,0.44838470220565796,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,MAPK14,1.0492650270462036,0.9677211046218872,0.0815439224243164,3,2,0.7994738221168518,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,VASH2,0.006276404485106468,0.011459922417998314,-0.005183517932891846,3,2,0.6508200764656067,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,TNIK,0.756051242351532,0.636760950088501,0.119290292263031,3,2,0.7200988531112671,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,WDR81,0.12521977722644806,0.10174454748630524,0.023475229740142822,3,2,0.37380966544151306,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,CCDC160,0.007038595154881477,0.004093358293175697,0.00294523686170578,3,2,0.6809136271476746,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,SLC2A1,0.060090307146310806,0.08328768610954285,-0.02319737896323204,3,2,0.7526337504386902,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,ANKRD13B,0.012759734876453876,0.02188345417380333,-0.009123719297349453,3,2,0.47429487109184265,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,NPY,0.006895467173308134,0.013330072164535522,-0.006434604991227388,3,2,0.28800296783447266,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,AXL,0.27086010575294495,0.4512746334075928,-0.18041452765464783,3,2,0.7228221893310547,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,SERPINE1,0.01802578754723072,0.025528118014335632,-0.007502330467104912,3,2,0.7885762453079224,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,WBP1L,0.3017943203449249,0.43233585357666016,-0.13054153323173523,3,2,0.2135939747095108,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,ITPKC,0.022961730137467384,0.061632223427295685,-0.03867049515247345,3,2,0.1926668882369995,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,ACVR1,0.5491182208061218,0.6574834585189819,-0.10836523771286011,3,2,0.4499899446964264,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,LNP1,0.0,0.0,0.0,3,2,,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,AGRN,0.14597509801387787,0.06210839003324509,0.08386670798063278,3,2,0.33955633640289307,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,VIP,0.0,0.0,0.0,3,2,,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,TNS3,1.6649994850158691,1.7045366764068604,-0.03953719139099121,3,2,0.8994833827018738,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,ANKRD1,0.0,0.0,0.0,3,2,,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,CTTN,0.029377633705735207,0.02461647242307663,0.004761161282658577,3,2,0.8030806183815002,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,RUBCN,0.21934722363948822,0.25853103399276733,-0.039183810353279114,3,2,0.43001991510391235,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,MEGF11,0.05104656144976616,0.07945407927036285,-0.028407517820596695,3,2,0.4720595180988312,n=3v2 sample-level; descriptive only,
Neuron,SNI_vs_Sham,SPRR1A,0.0028526661917567253,0.0014224605401977897,0.0014302056515589356,3,3,0.652087390422821,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,ATF3,0.0013847978552803397,0.0016033888095989823,-0.00021859095431864262,3,3,0.8798583149909973,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,TFE3,0.10250971466302872,0.08551152795553207,0.016998186707496643,3,3,0.15314215421676636,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,CDHR5,0.00022511596034746617,0.00022171383898239583,3.402121365070343e-06,3,3,0.9480100870132446,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,GALNS,0.10538224130868912,0.16649983823299408,-0.06111759692430496,3,3,0.39014455676078796,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,CHL1,0.8470625877380371,0.7850331664085388,0.06202942132949829,3,3,0.5038456916809082,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,FLNC,0.0014142344007268548,0.0019065289525315166,-0.0004922945518046618,3,3,0.5475902557373047,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,RNF19B,0.11007142812013626,0.10671145468950272,0.003359973430633545,3,3,0.8489945530891418,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,SRRM4,0.7178824543952942,0.7278299331665039,-0.009947478771209717,3,3,0.9279723167419434,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,ECEL1,0.04645584896206856,0.04079705476760864,0.005658794194459915,3,3,0.594192385673523,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,FLRT3,0.2454996556043625,0.24523544311523438,0.0002642124891281128,3,3,0.998205304145813,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,PTPN23,0.13467785716056824,0.1488969475030899,-0.014219090342521667,3,3,0.5993878245353699,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,MAPK14,0.5779395699501038,0.5763052105903625,0.001634359359741211,3,3,0.9902710914611816,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,VASH2,0.0763879045844078,0.08227646350860596,-0.005888558924198151,3,3,0.6984997987747192,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,TNIK,1.8128339052200317,1.7196186780929565,0.0932152271270752,3,3,0.4410383701324463,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,WDR81,0.039506543427705765,0.04346237704157829,-0.003955833613872528,3,3,0.7859683036804199,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,CCDC160,0.04187154769897461,0.04789971932768822,-0.006028171628713608,3,3,0.6822015643119812,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,SLC2A1,0.03604023531079292,0.03371674567461014,0.002323489636182785,3,3,0.8083997964859009,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,ANKRD13B,0.13745039701461792,0.14720438420772552,-0.009753987193107605,3,3,0.758004903793335,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,NPY,0.028674831613898277,0.032844457775354385,-0.004169626161456108,3,3,0.6046783328056335,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,AXL,0.009064231999218464,0.008803371340036392,0.0002608606591820717,3,3,0.953591525554657,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,SERPINE1,0.001059390720911324,0.0011648935033008456,-0.0001055027823895216,3,3,0.865882396697998,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,WBP1L,0.17927221953868866,0.1673726886510849,0.01189953088760376,3,3,0.7703396677970886,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,ITPKC,0.03713178634643555,0.039910271763801575,-0.002778485417366028,3,3,0.7243961691856384,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,ACVR1,0.5232803821563721,0.4780270755290985,0.04525330662727356,3,3,0.49686816334724426,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,LNP1,0.0013878792524337769,0.001670913421548903,-0.00028303416911512613,3,3,0.846635639667511,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,AGRN,0.4319736659526825,0.3987879455089569,0.033185720443725586,3,3,0.5070045590400696,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,VIP,0.0012089601950719953,0.0014447382418438792,-0.00023577804677188396,3,3,0.7561199069023132,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,TNS3,0.13150343298912048,0.128274068236351,0.00322936475276947,3,3,0.8371209502220154,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,ANKRD1,0.0009491331875324249,0.0008669865201227367,8.214666740968823e-05,3,3,0.8174629807472229,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,CTTN,0.24713855981826782,0.2512744963169098,-0.004135936498641968,3,3,0.8772735595703125,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,RUBCN,0.40472379326820374,0.39201703667640686,0.012706756591796875,3,3,0.7681646943092346,n=3v3 sample-level; descriptive only,
Neuron,SNI_vs_Sham,MEGF11,0.14358413219451904,0.14528919756412506,-0.001705065369606018,3,3,0.9207873344421387,n=3v3 sample-level; descriptive only,
OPC,SNI_vs_Sham,SPRR1A,0.0,0.006357248406857252,-0.006357248406857252,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,ATF3,0.0,0.005749687552452087,-0.005749687552452087,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,TFE3,0.080135777592659,0.046834588050842285,0.03330118954181671,2,2,0.4846377670764923,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,CDHR5,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,GALNS,0.03645895794034004,0.023379379883408546,0.013079578056931496,2,2,0.7333120703697205,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,CHL1,0.42752623558044434,0.44290071725845337,-0.015374481678009033,2,2,0.8941285014152527,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,FLNC,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,RNF19B,0.0595412440598011,0.10259269177913666,-0.043051447719335556,2,2,0.23222650587558746,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,SRRM4,0.1071513220667839,0.06832136958837509,0.038829952478408813,2,2,0.35432618856430054,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,ECEL1,0.034662336111068726,0.024536998942494392,0.010125337168574333,2,2,0.7513064742088318,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,FLRT3,0.16143937408924103,0.2806711196899414,-0.11923174560070038,2,2,0.1577835977077484,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,PTPN23,0.11304900795221329,0.09258928894996643,0.020459719002246857,2,2,0.12681467831134796,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,MAPK14,0.2522938549518585,0.2594824433326721,-0.007188588380813599,2,2,0.8634559512138367,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,VASH2,0.019649958238005638,0.027063418179750443,-0.007413459941744804,2,2,0.8048540353775024,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,TNIK,1.8468531370162964,2.051173210144043,-0.20432007312774658,2,2,0.10426170378923416,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,WDR81,0.020806483924388885,0.02946213074028492,-0.008655646815896034,2,2,0.4937600791454315,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,CCDC160,0.007880964316427708,0.0060546621680259705,0.0018263021484017372,2,2,0.8721292614936829,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,SLC2A1,0.04224630445241928,0.05628300458192825,-0.014036700129508972,2,2,0.8109651207923889,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,ANKRD13B,0.059431254863739014,0.03923927620053291,0.0201919786632061,2,2,0.5037804841995239,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,NPY,0.006236282642930746,0.033944930881261826,-0.027708647772669792,2,2,0.37484556436538696,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,AXL,0.038819052278995514,0.0726676732301712,-0.03384862095117569,2,2,0.6366446018218994,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,SERPINE1,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,WBP1L,0.1576462686061859,0.17320334911346436,-0.015557080507278442,2,2,0.7534546852111816,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,ITPKC,0.018205123022198677,0.05670095980167389,-0.03849583864212036,2,2,0.19944074749946594,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,ACVR1,0.4263904094696045,0.4960483908653259,-0.06965798139572144,2,2,0.6511387825012207,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,LNP1,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
