,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
HOOK3,-0.06514955490506136,-1.1685832326227814,0.2534781605127534,5.674537202347382,5.739686757252444,0.3516625086489759,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
HMX2,0.020822058863201372,1.1946808388278203,0.253553577876411,0.020822058863201372,0.0,0.3517394296952716,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
SULF2,-0.11688634361243277,-1.1687018411013181,0.2536033646419244,5.890706958413426,6.0075933020258585,0.35178078565760323,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
SLC25A6,-0.15398150432649693,-1.167724863328958,0.2536687847572085,4.294576197831256,4.448557702157753,0.35184381888313765,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
G2E3,0.08071987970468042,1.173848016210039,0.2537529914332832,3.337786872343412,3.2570669926387317,0.35193289747452755,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
WNT7A,-0.06448023198262298,-1.1669742511209324,0.2538373350733327,3.336977313491635,3.401457545474258,0.3520221519786174,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
CLPB,-0.02390638664322342,-1.1669685058205963,0.25386969514696117,6.272842509548008,6.2967488961912315,0.35203930718371124,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
APH1B,0.047750364788728294,1.1669862421970385,0.253966917447445,3.958769420628691,3.911019055839963,0.3521284994540398,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
MLH1,-0.09887554282832722,-1.1666718734356043,0.2539854567865918,3.336140036170399,3.4350155789987262,0.3521284994540398,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
RINL,0.0757658184985639,1.1668558454952436,0.2539939996913672,0.704706105083835,0.6289402865852711,0.3521284994540398,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
CCDC88B,0.08577949169819732,1.1733133357673666,0.2541036670519121,3.152285176185823,3.0665056844876255,0.35225280859975,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
SNN,-0.04136758169639165,-1.1673963852525937,0.25430372209203456,6.99202538860055,7.0333929702969415,0.35250238880462975,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
OPN1SW,-0.053644166699260754,-1.1718430571209038,0.25446350296409065,0.20415143870022573,0.2577956053994865,0.35269610819302694,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
HOXB2,-0.07196681103359381,-1.1683633599843277,0.2545193660270897,2.9306723060904214,3.002639117124015,0.35274577438443977,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
RPL27-L1,0.18898221085210976,1.165142716258412,0.2545422653008573,2.8151979199089596,2.62621570905685,0.35274975088238886,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
HRH1,0.15968026526032686,1.1675315731582903,0.25470134361903346,2.2430720179567962,2.0833917526964694,0.352921504881759,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
MYOM3,0.38501220806127234,1.164827355601913,0.25470628170161586,3.080873657268494,2.6958614492072215,0.352921504881759,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
EIF5,-0.05348999017715528,-1.1656897690157655,0.2548021464275116,7.486723611206394,7.54021360138355,0.353026559730541,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
CCDC85B,0.04526891079145834,1.1641117670557417,0.25496419791130054,5.073943872700319,5.028674961908861,0.35322329211893594,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
TAMALIN,-0.05402648143800537,-1.165700896732099,0.25513351494795833,3.7981907672169695,3.852217248654975,0.3534300583456693,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
ADGRF2,0.019455185012925813,1.1752358713344435,0.2552504702028288,0.03199955228168012,0.012544367268754303,0.3535642622889742,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
SIGLEC10,0.20793615797333143,1.1687728951581018,0.2552789846388734,0.7691437396687284,0.561207581695397,0.35357594954582766,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
TTC4,-0.029070227043860086,-1.1659170305133446,0.2553589598756846,5.317096188821744,5.346166415865604,0.35365890550257006,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
CRADD,0.05660634614449456,1.1643172072543608,0.25539529437859193,1.4337348634107763,1.3771285172662817,0.3536814130141844,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
KIF27,0.061012923610750835,1.1652594812783288,0.2555050301241244,2.863162764668452,2.8021498410577013,0.35380555791130325,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
BRAF,-0.05927893661470307,-1.167892866790311,0.255547480012514,5.509127045243457,5.56840598185816,0.35383651784734516,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
CAMKK2,0.03830055795763876,1.1630822301947683,0.2558079307750042,4.949259028214478,4.91095847025684,0.35416929786781437,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
SNX2,0.04402204506790053,1.1615471518663254,0.2559789527410526,6.2652193471299515,6.221197302062051,0.3543782200080715,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
LHFPL2,0.06317840016540721,1.1623319579644,0.25626348723189735,6.057676792191454,5.994498392026046,0.35473616716948697,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
OLR1343,0.04880819674979489,1.1635443643391468,0.25627779540613155,0.2679768140481285,0.21916861729833362,0.35473616716948697,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
PPARA,0.05453535852137792,1.1620865153340596,0.2564117838763575,3.21719367639798,3.162658317876602,0.35489373827778464,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
CALHM3,-0.06693812861929102,-1.160275089694141,0.25648132352337205,0.24819705299140768,0.3151351816106987,0.35494574198742235,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
CDIPT,-0.030191283725335083,-1.1620307389320614,0.25648966626153746,8.062256763233334,8.092448046958669,0.35494574198742235,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
OLR839,0.018202823847318115,1.1813687927645737,0.2565508472105257,0.021735185307233,0.0035323614599148847,0.3550025120000446,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
TRAK1,0.019994680276957055,1.1607365164474093,0.25665426448581624,7.163656785690485,7.143662105413528,0.35511769033808865,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
GDPD3,-0.1280127089308173,-1.1598982401548195,0.2566744126008478,0.6444153602226983,0.7724280691535156,0.35511769033808865,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
WNT5B,-0.18133610609246764,-1.1596287912413186,0.25701136976722133,1.1663273298948174,1.347663435987285,0.3555559491728621,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
TENT4A,0.03463891702112232,1.1590126765290243,0.2570424112502881,4.934985003852427,4.900346086831305,0.355570961002971,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
KIF20B,0.08963468581993106,1.161234703531094,0.25723015724819953,1.950570380270939,1.860935694451008,0.35580272536114055,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
