,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
SEPTIN3,0.3679179792436962,6.333060600437824,0.00023379337987640964,5.744814931042456,5.37689695179876,0.1455484314385882,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
DNAJB1P2,-0.051789957640598766,-4.711480867457226,0.00023696566313354062,0.02102039822585736,0.07281035586645612,0.1455484314385882,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
C1ORF198,0.2861789445175509,5.225718406560128,0.00025130907535821545,6.376933290864467,6.090754346346916,0.15107418330151104,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
SLC9A3-OT1,-0.1481117633000011,-4.679856829718903,0.0002651021144100146,5.303736892082065,5.451848655382066,0.15418304898347068,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
RNU1-94P,0.14851549969620556,4.8293904584413845,0.0002673946839452843,0.14851549969620556,0.0,0.15418304898347068,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
SCIRT,-0.23094599084369638,-4.955318732885848,0.00028369404111380905,0.5638766673537691,0.7948226581974654,0.15521519539135653,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
COLEC11,-0.3820004281317413,-4.893048174582367,0.00028795385742336633,7.907950308256677,8.289950736388418,0.15521519539135653,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
LINC02345,-0.0485030167761735,-4.6195470350079315,0.0002904285218413326,0.02430733909028262,0.07281035586645612,0.15521519539135653,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
MTBP,0.24368727752346908,5.603429798710033,0.00029115896353584965,3.225156018419506,2.981468740896037,0.15521519539135653,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
PRKX,0.2869955433967517,4.8777185026835115,0.0002968580552595717,4.663656181481727,4.376660638084975,0.15532273135748034,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
CSTF3-DT,-0.22969021987294747,-4.634362643147318,0.0003309451080120884,0.4175318644513928,0.6472220843243403,0.16427598058779333,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
EVA1CP5,0.08849646201227017,4.701463466581833,0.00034024720657434266,0.08849646201227017,0.0,0.16427598058779333,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
TMEM225B,-0.3455967990085358,-4.5307551346921455,0.000341284075397595,2.2944670105645604,2.640063809573096,0.16427598058779333,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
RIMS4,0.3059176347344401,4.745042988018743,0.0003507258082471385,6.121567726225549,5.815650091491109,0.16427598058779333,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
NEURL1B,0.36638147322232806,4.543425526717984,0.00035267033277343383,4.115804810681311,3.749423337458983,0.16427598058779333,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
GUCY1A2,0.4058122977331433,4.902972333367114,0.0003547252062465058,1.9038656980523794,1.498053400319236,0.16427598058779333,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
BRCA2,0.35393184682520884,4.550164148055251,0.00036007595033848706,3.8489606943269146,3.4950288475017057,0.16427598058779333,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
CACNA1I,-0.25563153823870943,-5.5136515015908,0.00036048385348776054,0.16585432964754118,0.4214858678862506,0.16427598058779333,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
MIR1470,0.23056868418490703,4.973222904167033,0.00038983399160943873,0.25756488997560767,0.026996205790700643,0.17483126347512828,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
ATP11AUN,-0.09843544085517501,-4.44644746270954,0.00040620940816781046,0.04366595519400017,0.14210139604917518,0.1793287596620831,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
LEFTY2,0.3252254831968904,4.761808064808063,0.00041888939407520084,0.5733065674488114,0.248081084251921,0.18208155292616499,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
USE1,-0.3072099405198889,-4.605254487292261,0.0004262816550465866,4.754643005703956,5.061852946223845,0.1824873012376706,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
WDR25,-0.16424855854545317,-4.368848438916885,0.00048774056062450614,4.250303441793616,4.414552000339069,0.20314136930068594,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
CFAP20DC-AS1,0.3364624202764399,4.975217551719851,0.0004889082293638651,0.8454350478121032,0.5089726275356633,0.20314136930068594,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
RPL21P116,0.13202201888084794,4.47538811706474,0.000523286728523027,0.13202201888084794,0.0,0.21427453953173342,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
SYNPR,0.1847352910385027,4.706053116180305,0.00055697014636823,0.20723438523145893,0.022499094192956228,0.224809064506971,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
ZCCHC18,0.1303434496987972,4.308635963918034,0.0005844785882718988,3.549186188869719,3.418842739170922,0.23258954976104548,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
PHF24,0.4267508094620811,4.302560597276382,0.0006070212276715576,2.2283847232966276,1.8016339138345465,0.2382052467587804,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
WDCP,0.17415457407206514,4.37098876805346,0.0006262428326012324,4.739551442645704,4.565396868573639,0.241611897295178,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
RNA5SP298,0.11550884072685956,4.375146575274819,0.0006344669946364453,0.11550884072685956,0.0,0.241611897295178,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
