miRNA,targets,max_score,rho_pain,p_pain,FDR_pain,LSSDS_log2FC,LSSDS_FDR
hsa-miR-30d-5p,CHL1;TNIK,94.3559146262272,-0.0767665383763639,0.5738828338255051,0.9863362615743116,0.2711146613455533,0.1438241786327136
hsa-miR-548l,MEGF11,81.7971512323264,0.0760056959806832,0.5776965010027835,0.9863362615743116,0.3342619271604909,0.4761896261339843
hsa-miR-92a-1-5p,SLC2A1,91.14953,0.0759956256877283,0.5777470552565234,0.9863362615743116,0.3265782606779065,0.3468963179043728
hsa-miR-10399-5p,MEGF11;VASH2,83.8776592809514,0.0755826129154951,0.5798221772838864,0.9863362615743116,0.2288627891122441,0.5427562074216463
hsa-miR-214-3p,RUBCN,94.7183737440564,0.0754427695197665,0.5805255689239243,0.9863362615743116,0.2222584122112947,0.6797046163857445
hsa-miR-106a-5p,VASH2,96.2954158462644,0.0744744893250197,0.5854064970870995,0.9863362615743116,-0.6623442538753217,0.1284909020973099
hsa-miR-3680-3p,CHL1;VASH2,94.3307740007,-0.0744008045473681,0.5857786861187008,0.9863362615743116,0.1226565470518196,0.54947098311646
hsa-miR-30e-5p,CHL1;TNIK,94.3559146262272,-0.0729350533950124,0.5932044118490707,0.9863362615743116,0.1870157541600487,0.3338247764228218
hsa-miR-3143,CHL1,86.6997288704,-0.0725587468343439,0.5951175782299314,0.9863362615743116,0.291468682787884,0.4872982288667046
hsa-miR-190a-3p,MEGF11;SERPINE1,99.7296502406156,-0.0699561796985264,0.6084234317192159,0.9863362615743116,-0.1534370546973749,0.7348980028460556
hsa-miR-4773,AXL;FLRT3,93.5545262886,0.0686661823089838,0.61506602690202,0.9863362615743116,-0.0928993357439095,0.6576588183039908
hsa-miR-548n,FLRT3;MEGF11,86.088344924,0.0683670192834371,0.6166109273882523,0.9863362615743116,0.5416343871035173,0.2105486879912184
hsa-miR-454-3p,ACVR1,95.23518548302,0.0671194065483182,0.6230714374591347,0.9863362615743116,0.0133183582720572,0.9688929551206772
hsa-miR-218-5p,VASH2,92.5430003027,0.0670054717380358,0.623662843224474,0.9863362615743116,-0.5195043553324503,0.4737866994618393
hsa-miR-450b-5p,ACVR1,82.638100725,0.0657510190549783,0.6301899059524795,0.9863362615743116,0.3755702914122873,0.2825012919808271
hsa-miR-5010-3p,FLRT3,88.2638134775764,0.0654442502013312,0.6317903637552563,0.9863362615743116,0.0238568305056627,0.9656930569592632
hsa-miR-3121-3p,AGRN,90.74538,-0.0639409094981003,0.6396576680560959,0.9863362615743116,-0.0296659021944941,0.8932507678059568
hsa-miR-10527-5p,CHL1,82.9657646542561,0.0625353084456298,0.6470493026463807,0.9863362615743116,0.1852707589614461,0.6198612861713512
hsa-miR-200b-3p,VASH2,99.7287094845661,0.0625353084456298,0.6470493026463807,0.9863362615743116,0.6546630575798238,0.2155499406140281
hsa-miR-30c-5p,CHL1;TNIK,94.3559146262272,0.0616458565749589,0.6517442648829602,0.9863362615743116,0.2487534252456029,0.3783687978254808
hsa-miR-642a-3p,SERPINE1,82.053013703,-0.0613655613832405,0.653226595994373,0.9863362615743116,0.0675582356239778,0.9188701565216
hsa-miR-708-5p,TNS3,96.16358977004,0.0589065607275973,0.6662874584104803,0.9863362615743116,-0.1509105113273241,0.7231850257308529
hsa-miR-296-5p,SRRM4,90.2485593677677,-0.0585327750276108,0.6682815637935792,0.9863362615743116,0.3934543271338326,0.1438241786327136
hsa-miR-4676-3p,GALNS,88.016,-0.0582873954026555,0.6695918761712827,0.9863362615743116,0.1951770867472971,0.4990443750605259
hsa-miR-6729-5p,GALNS,84.3407445064,0.0567438648341225,0.6778565274596069,0.9863362615743116,-0.0203256309158778,0.9372645382287104
hsa-miR-320d,FLRT3,82.025,-0.0563101075961271,0.6801858789164891,0.9863362615743116,-0.0934442558702,0.8480351688879936
hsa-miR-96-5p,CTTN;TNS3,98.4047929403,-0.0560012581649321,0.6818462650821342,0.9863362615743116,0.4816854401996426,0.273112180730003
hsa-miR-6734-3p,TFE3,81.6239657013843,0.0556378792552426,0.6838017222285698,0.9863362615743116,0.2540121708606552,0.4653767594543075
hsa-miR-130b-3p,ACVR1,94.83525937447,-0.0555565322295967,0.6842397594189459,0.9863362615743116,0.0183322559975689,0.9538610221727926
hsa-miR-545-5p,CRISP3,82.6721,-0.0543093379204611,0.6909684999495317,0.9863362615743116,0.2817460309394788,0.5021028787523188
hsa-miR-30c-2-3p,SRRM4,87.2881559770844,0.0487186041159358,0.7214169581481167,0.9863362615743116,0.193593222341702,0.5280291927080509
hsa-miR-138-2-3p,VASH2,84.0603425065023,-0.0485238566777128,0.7224856999736249,0.9863362615743116,0.0313388502822269,0.8007945400009061
hsa-miR-141-3p,TNS3,85.4206,-0.0480304010162277,0.725196056354237,0.9863362615743116,0.1308165798848923,0.8235186014604785
hsa-miR-320a-3p,FLRT3,82.025,0.0469699007088893,0.7310322614449648,0.9863362615743116,0.1688248526537048,0.4069794758222787
hsa-miR-29c-3p,ANKRD13B,89.5876,-0.0465935941482208,0.7331068351701859,0.9863362615743116,0.0651087513800252,0.8055252882420008
hsa-miR-3145-3p,TNIK;TNS3,87.50222248,-0.0460232407507631,0.7362547978752294,0.9863362615743116,-0.0208836450482396,0.90953709524116
hsa-miR-877-3p,TFE3,83.048654528063,0.0442819591126104,0.7458919439362999,0.9863362615743116,-0.0366522242019755,0.8968084411209534
hsa-miR-30b-5p,CHL1;TNIK,94.3559146262272,0.0441989160348762,0.7463525270317946,0.9863362615743116,0.3839505634648006,0.3783687978254808
hsa-miR-6754-3p,MAPK14,90.7167722912,-0.0441070717973771,0.746862026715083,0.9863362615743116,-0.1913179076327585,0.427803847158429
hsa-miR-4653-3p,SLC2A1,86.7726,-0.043998932619423,0.7474620593221525,0.9863362615743116,0.0295586004485539,0.8684553443958558
hsa-miR-6853-3p,FLRT3,91.232171308,0.0429729700461985,0.753162179344632,0.9863362615743116,0.1813557351766776,0.2204530515161893
hsa-miR-429,VASH2,99.7287094845661,0.0428793953461486,0.7536827252381227,0.9863362615743116,0.5398195054873427,0.4005488574189431
hsa-miR-642b-3p,SERPINE1,82.053013703,-0.0417333470517636,0.7600668296744737,0.9863362615743116,-0.1053957745975757,0.8081364098739512
hsa-miR-579-3p,MEGF11,89.5237830746241,-0.0402997003330727,0.7680753859184006,0.9863362615743116,0.0500891722717962,0.9188701565216
hsa-miR-183-5p,FLRT3,80.1831,-0.0396832373068548,0.7715265033466007,0.9863362615743116,0.0361191371382023,0.933746413208242
hsa-miR-211-5p,RUBCN,85.9203,0.0394319917470475,0.7729343057301759,0.9863362615743116,-0.3346988425545005,0.4794790852539231
hsa-miR-30c-1-3p,SRRM4,87.2881559770844,0.0392582675123896,0.7739081585889608,0.9863362615743116,0.2720096949068203,0.4998481631598579
hsa-miR-4742-3p,SLC2A1,85.8844,-0.0388279951235174,0.7763216402284656,0.9863362615743116,-0.4111274889151177,0.4640368575084659
hsa-miR-124-3p,MAPK14,84.341,-0.0385949925422017,0.7776294752989911,0.9863362615743116,-0.0328494840439259,0.90953709524116
hsa-miR-212-5p,GALNS,87.8496,0.0384424437547484,0.7784860581907896,0.9863362615743116,-0.048779871018151,0.8524700529910417
hsa-miR-1284,SLC2A1;TNS3,95.18464,0.0379480193129954,0.7812641142209829,0.9863362615743116,0.3683387565280678,0.3783687978254808
hsa-miR-6817-3p,WBP1L,95.7888330248073,-0.0377451261676231,0.7824049113678629,0.9863362615743116,-0.001703081541228,0.989591258497412
