,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
HCLS1,0.7498587494299755,12.935121529841473,1.7533178243512028e-05,2.9672042717706217,2.217345522340646,0.009397375790191204,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
ITGAM,1.486863895328904,16.38311231005505,1.941588279145868e-05,5.887601951089927,4.400738055761023,0.010169951152153368,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
PGCKA1,0.5447680100340886,10.030424606589612,2.1272822952890355e-05,2.037278697457571,1.4925106874234824,0.010894994457672533,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
ITGAX,0.7099383061701732,10.818710520866365,2.2976599188841405e-05,1.3468797927198515,0.6369414865496783,0.011159373609061994,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
TIFAB,0.7504091669388302,10.358796041585626,2.3305717990957844e-05,2.5427799612434288,1.7923707943045986,0.011159373609061994,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
C3AR1,0.8090846752207979,12.481467270941865,2.347103419712825e-05,2.5159654286461755,1.7068807534253776,0.011159373609061994,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
OLFML3,0.8851897480839743,11.05733046288457,2.372583446192727e-05,4.8643010372957916,3.9791112892118172,0.011159373609061994,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
BIN2,1.2536694023520276,10.33548784460438,2.5548269344096522e-05,3.5923997233913245,2.338730321039297,0.01158432802357831,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
PTPN6,0.9035123198612909,9.776231953446437,2.563460446923651e-05,3.102127315781617,2.1986149959203263,0.01158432802357831,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
CCR5,1.017878428694421,12.552583982721098,2.781651214318637e-05,4.162045146690933,3.1441667179965123,0.012328599141615697,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
PIK3AP1,1.0745702791278906,17.87666125293573,2.939948577056331e-05,3.350438083427468,2.2758678042995775,0.012784338651965519,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
SIGLECF,0.7830578803721331,9.853525599742333,3.098153300812627e-05,1.6996860385646282,0.9166281581924951,0.013183981529525868,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
LTC4S,0.8569265755446589,9.540525584313222,3.1462619174900104e-05,1.580485749426379,0.7235591738817202,0.013183981529525868,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
FCER1G,0.959222055888513,9.849171485144087,3.315363958026434e-05,3.1340110410262194,2.1747889851377065,0.013644498775113433,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
MS4A6D,0.7016815381443091,9.322794880115369,3.3914887974056306e-05,1.7734034666456047,1.0717219285012956,0.013712919704176766,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
ADGRE1,0.9250086563975533,12.08992506930769,3.626003966360902e-05,3.7258380806380096,2.8008294242404563,0.014262340793931112,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
NAIP2,0.940015219316287,9.380238468446834,3.651139440456179e-05,2.1708835051802127,1.2308682858639257,0.014262340793931112,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
MX2,0.6451069600549453,9.382963002200018,3.9568786015626614e-05,1.9042735157136315,1.2591665556586862,0.015199030188369109,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
ADGRG5,0.8976088605443238,9.02009865225217,4.3964183347682666e-05,1.496674173584813,0.5990653130404893,0.01661053333793512,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
SLA,1.213002051517127,9.29929263144357,4.497466943128126e-05,3.281663447159079,2.068661395641952,0.01671824526423773,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
RAC2,0.9990008583391485,8.985738568423123,4.7200354841664565e-05,2.84320208340918,1.8442012250700313,0.01726708854025148,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
IKZF1,1.0623798306005545,11.359546608877139,5.0446600675340134e-05,3.203351785561666,2.1409719549611115,0.018016340389998886,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
CD37,0.9191116103400347,9.43523680491865,5.0814626539775436e-05,2.758096142518424,1.838984532178389,0.018016340389998886,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
SPRR1A,5.138180888325886,18.76033068235814,5.1593633259857095e-05,5.389819734711144,0.2516388463852576,0.018016340389998886,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
OSBPL3,0.19098301575557786,8.902210104151777,5.598244702017906e-05,3.742517647718554,3.5515346319629764,0.01925712621603085,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
GNG10,0.296458974004822,9.49788629012918,6.113062649983323e-05,5.098059046204845,4.801600072200023,0.020718787484436126,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
CSF3R,1.2819786557010202,10.459449421685392,6.336142131729558e-05,4.185006126181761,2.9030274704807404,0.020924022804134766,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
DOCK8,0.7223665096628755,8.589393081624161,6.355194152338412e-05,3.5994536570809785,2.877087147418103,0.020924022804134766,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
PRDX6,0.23892578407466658,8.455152170009526,6.528795890649067e-05,8.186520093914934,7.947594309840268,0.021192839280533667,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
FLI1,0.5284434146671559,10.312661779913155,6.785252394018834e-05,2.0845777459777555,1.5561343313105995,0.02171940443402112,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
LYN,0.9135976287953316,10.63204582430823,6.883427741709991e-05,3.8333557896560126,2.919758160860681,0.021731830022354817,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
MYO1F,0.674127040453496,8.656039083885931,6.979171990142768e-05,2.9029554977183434,2.2288284572648474,0.021736348223894645,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
ELK3,0.4620357313159924,8.720122858124899,7.384178900700258e-05,3.1252843871322633,2.663248655816271,0.022397788173021616,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
RNF19B,0.26591757329486754,8.350012732672306,7.385915308498472e-05,5.368252204567755,5.102334631272887,0.022397788173021616,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
HCAR2,0.9766529723088196,8.357399452308135,7.576297374857763e-05,1.4933175694249914,0.5166645971161717,0.02267674358420089,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
NCF1,0.9854139878686228,13.302680705743532,8.236885298910737e-05,3.863614349881942,2.8782003620133194,0.024337884036409713,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
LIX1,0.37905674518041277,8.055018392314661,8.957107544946475e-05,5.343807739620744,4.964750994440331,0.026130943998529294,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
IL6RA,0.8129349239806798,8.446187807506849,9.218066801924418e-05,3.2809168806972244,2.4679819567165446,0.02635250151816398,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
DOCK2,0.9045673580837459,8.526415738334869,9.261737419062274e-05,3.7701342515880296,2.8655668935042837,0.02635250151816398,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
BAZ1A,0.4042843444088242,8.26301796195041,9.451032331637046e-05,2.116564604590761,1.7122802601819367,0.02656316367649256,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
TNFAIP8L2,1.0834144089325082,8.434397232867784,0.00010103681976348962,2.3150149902291717,1.2316005812966635,0.02801411315907486,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
